RA_id,participant_id,date,study_start,study_end,subject_race_RA,subject_gender_RA,total_friends,Notes,study_about
JM,5584,10/29,2:01,2:23,Asian,Female,"1,504",,Pattern of engagement within posts and with other. Engaging with familiar people vs not
JM,9443,10/29,3:04,3:38,White,Female,515,,How importan is non personal information to me and how my preferences are influenced. Seeing how people I dont know really well 
TM,3107,11/5,11:02,11:26,White,Female,687,,"Something with algorithms, couldn't tell ya. I thought it was gunna be about ads, but I guess not."
TM,9910,11/5,12:01,12:28,White,Female,1847,,i guess you're looking at the algorithm and how useful stuff is. I'm not quite 
JM,6416,11/5,2:02,2:36,Hispanic,Female,686,,Where are you spending the most time looking at content. 
TM,2700,11/5,3:02,3:28,White,Female,"1,050",,Trying to figure out how people interact on FB and how that affects their algorithm.
JM,5527,11/6,11:04,11:28,White,Male,"1,231",,The actual snapshot of FB content in relation to the user. 
TM,4051,11/6,11:08,11:48,White,Female,"1,771",,"I think its about showing inaccurate data, like i see a lot of things that are irrelevant to me but I see them anyways. I think its showing us how irrelevant some things are on social media and how sometimes they aren't important to us."
JM,7162,11/6,11:56,12:25,White,Female,255,,Who has the most political v covid opinions. 
TM,4137,11/6,12:03,,Asian,Female,90,Inelligible to participate,
TM,7291,11/6,1:02,1:27,Asian,Male,241,,"Trying to figure out what shows up on the news feed, like what you do on FB affects the newsfeed, and what you see on your homepage."
JM,3795,11/6,1:05,1:33,Black or African American,Male,2750,,Knowing people and associating with them via FB. 
TM,8205,11/6,2:02,2:18,White,Male,334,,"Its about seeing FB's algorithm, the posts that it gives me and how I feel about them. "
JM,3550,11/6,3:02,3:25,Hispanic,Female,141,,"Looking at how often people post, interact and the rate of friends posts. "
TM,6787,11/6,3:08,,Hispanic,Male,"1,303",,"Like you said, it about how accurate FB algorithm is. I've been studying about algorithms in school, and how FB has been allegedly listening and tapping into your phone to show you ads, so I think this study specifically is about how well the AI is working at getting you to stay on your phone for as long as possible."
JM,1755,11/7,11:05,11:28,White,Female,944,Unable to finish news feed portion ,Trying to find a coorelation between how often someone engages in their feed and how the feed is currated. 
JM,8735,11/7,3:06,3:27,White,Male,685,,Frequency of use of Facebook and interactions/influences of content that 
