"","primary.id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q2","self.race","self.race.free","gender","age","education","covid.usage","pre.covid.usage","last.login","subject_id","manual_diag","date","subject_gender_RA","subject_race_RA","source","total_friends","recorded.posts","mean.rating","sd.rating","median.rating","pymk.recorded.posts","pymk.mean.rating","pymk.sd.rating","pymk.median.rating"
"14","2020-04-282946","2020-04-28 13:46:43","2020-04-28 13:48:31","IP Address","98.223.127.85",100,107,"True","2020-04-28 13:48:31","R_re9PQ7u9Urs5lL3",NA,NA,NA,NA,41.8731994628906,-88.0001983642578,"anonymous","EN","Yes, I consent to participate","cdr","White","White","Female",18,"Some college, no degree","A few times a day","A few times a day","Within the past day",2946,0,2020-04-28,"female","white","CDR 1",282,60,4.35,1.4823824159503,4.5,60,3.85,2.03215674025139,4
"15","2020-04-286598","2020-04-28 12:17:28","2020-04-28 12:20:23","IP Address","108.240.125.212",100,174,"True","2020-04-28 12:20:23","R_2bVP3O3uhevBLO6",NA,NA,NA,NA,41.6349029541016,-87.4626998901367,"anonymous","EN","Yes, I consent to participate","cdr","Black or African American","African American is a widely known and accepted face as with all other races and ethnicities. Some will embrass it fully and others will have not good things to say about it. Generally, it is for classification purposes. I have no issues with it","Male",37,"Some college, no degree","A few times a day","A few times an hour","Within the past hour",6598,0,2020-04-28,"male","black or african american","CDR 1",1070,60,6.18333333333333,1.11220755694138,7,60,1.9,1.72420455745025,1
"16","2020-04-293437","2020-04-29 13:41:05","2020-04-29 13:42:17","IP Address","71.105.132.81",100,71,"True","2020-04-29 13:42:17","R_ZkqEoK4OBwluLBv",NA,NA,NA,NA,40.7653045654297,-73.9589004516602,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Indian","Female",20,"Some college, no degree","A few times a day","A few times an hour","Within the past hour",3437,0,2020-04-29,"female","asian","CDR 1",1072,60,3.68333333333333,2.23600481084552,4,60,2.4,1.69945155659711,2
"17","2020-04-294668","2020-04-29 12:14:49","2020-04-29 13:06:41","IP Address","73.75.44.41",100,3111,"True","2020-04-29 13:06:41","R_1QN7Tg2a2i7PQuQ",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Asian. Chinese. Han Chinese.","Male",20,"Some college, no degree","A few times a month","A few times a year","Within the past week",4668,0,2020-04-29,"male","asian","CDR 1",733,60,2.71666666666667,1.74755680945138,2,60,1.88333333333333,1.1945024730791,1
"18","2020-04-295906","2020-04-29 11:01:25","2020-04-29 11:03:32","IP Address","76.16.99.186",100,127,"True","2020-04-29 11:03:33","R_3kjKyjbUHRjDUEA",NA,NA,NA,NA,41.9214935302734,-87.6445999145508,"anonymous","EN","Yes, I consent to participate","CDR","Asian","Asian American, Chinese","Male",24,"Bachelor's degree","A few times an hour","A few times an hour","Within the past hour",5906,0,2020-04-29,"non-binary","asian","CDR 1",462,60,4.83333333333333,2.06805129486483,5,60,4.35,2.79117859803018,5.5
"19","2020-04-297463","2020-04-29 12:34:01","2020-04-29 12:37:15","IP Address","205.178.50.163",100,193,"True","2020-04-29 12:37:15","R_3FX0vfrH54Y74Gq",NA,NA,NA,NA,41.9031982421875,-87.638298034668,"anonymous","EN","Yes, I consent to participate","cdr","White","white, Russian roots, jewish","Male",55,"Master's degree","A few times a year","A few times a year","Within the past year",7463,0,2020-04-29,"male","white","CDR 1",148,60,2.3,1.68039543368795,2,59,2.96610169491525,2.53911538827937,1
"20","2020-04-298574","2020-04-29 14:03:34","2020-04-29 14:06:07","IP Address","64.53.248.21",100,153,"True","2020-04-29 14:06:08","R_1cSSj0RrIeIJhEH",NA,NA,NA,NA,42.0128021240234,-88.0967025756836,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Mongolian, Asian
I usually just mark ""Asian""","Male",22,"Some college, no degree","A few times a day","A few times a week","Within the past hour",8574,0,2020-04-29,"male","asian","CDR 1",1600,60,1.86666666666667,1.38351880861277,1,60,1.71666666666667,1.341535506099,1
"21","2020-04-301583","2020-04-30 12:27:32","2020-04-30 12:28:23","IP Address","98.144.130.119",100,51,"True","2020-04-30 12:28:24","R_1LunZ3EhnVSyepm",NA,NA,NA,NA,43.0648040771484,-88.0944976806641,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Korean American","Male",20,"Some college, no degree","A few times a day","A few times a day","Within the past hour",1583,0,2020-04-30,"male","asian","CDR 1",1534,60,4.41666666666667,1.51032229882488,5,60,2.43333333333333,1.54444512186846,2
"22","2020-04-307231","2020-04-30 13:54:06","2020-04-30 13:55:15","IP Address","68.73.115.77",100,69,"True","2020-04-30 13:55:15","R_2pSsSR69QbVTugp",NA,NA,NA,NA,35.8963928222656,-78.7115020751953,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Asian Indian","Female",26,"Bachelor's degree","A few times a week","A few times a month","Within the past week",7231,0,2020-04-30,"female","asian","CDR 1",1181,60,3.38333333333333,2.40121202917184,3,60,3.25,2.68470242646072,1.5
"23","2020-04-309519","2020-04-30 11:02:57","2020-04-30 11:05:13","IP Address","108.27.20.65",100,136,"True","2020-04-30 11:05:14","R_3eqxyoCMlahcQNz",NA,NA,NA,NA,40.7890014648438,-73.7261962890625,"anonymous","EN","Yes, I consent to participate","cdr","White","Always respond white, but I am Jewish and consider Judaism an ethnicity","Male",22,"Bachelor's degree","A few times a day","A few times a day","Within the past day",9519,0,2020-04-30,"male","white","CDR 1",562,60,2.61666666666667,1.65797166938919,2,60,4.6,2.63741013181299,5.5
"24","2020-05-012232","2020-05-01 12:30:43","2020-05-01 12:33:39","IP Address","165.124.167.1",100,176,"True","2020-05-01 12:33:40","R_2zHfv3uiM8Y4KMK",NA,NA,NA,NA,42.0106964111328,-87.6657028198242,"anonymous","EN","Yes, I consent to participate","cdr","White","White (Caucasian)","Male",51,"Master's degree","A few times a week","A few times a week","Within the past hour",2232,0,2020-05-01,"male","white","CDR 1",111,60,4.48333333333333,1.26881322725203,4.5,60,2.43333333333333,1.86280876559435,1
"25","2020-05-01319299999","2020-05-01 14:02:57","2020-05-01 14:06:12","IP Address","98.226.143.31",100,195,"True","2020-05-01 14:06:13","R_qCJLdGXktYJpRwl",NA,NA,NA,NA,41.7821044921875,-87.6045989990234,"anonymous","EN","Yes, I consent to participate","cdr","Two or more","For my race, I consider myself white. For ethnicity, I consider myself Jewish and Hispanic (my family is from Argentina on my mom's side). I was also born in Israel and my family goes back to the Middle East and Turkey as well, so it's sometimes hard to really summarize my ethnic background in forms.","Female",21,"Some college, no degree","A few times an hour","A few times a day","Within the past hour",319299999,1,2020-05-01,"female","asian","CDR 1",1363,60,2.56666666666667,1.45400285205543,2,60,2.66666666666667,1.72387685535521,2
"26","2020-05-013763","2020-05-01 12:28:57","2020-05-01 12:30:31","IP Address","67.48.113.3",100,93,"True","2020-05-01 12:30:31","R_qwqqtgAivT9A9Jn",NA,NA,NA,NA,37.0941009521484,-81.8123016357422,"anonymous","EN","Yes, I consent to participate","cdr","Asian","South Asian","Female",34,"Professional degree","A few times a week","A few times a week","Within the past day",3763,0,2020-05-01,"female","asian","CDR 1",1250,60,4.85,1.41211465420134,5,60,3.28333333333333,2.27805794978944,3
"27","2020-05-015099","2020-05-01 13:33:47","2020-05-01 13:35:37","IP Address","73.9.102.133",100,109,"True","2020-05-01 13:35:37","R_1eWeY7hHd2uDYqK",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","Two or more","I'd say I'm an Italian-Argentinean person, since almost all of my heritage is from Italy I'm an Italian citizen but was born in Argentina.","Male",25,"Bachelor's degree","A few times a day","A few times a week","Within the past hour",5099,0,2020-05-01,"male","hispanic","CDR 1",1224,1,2,NA,2,60,2.13333333333333,1.83623294067757,1
"28","2020-05-016594","2020-05-01 12:01:45","2020-05-01 12:03:23","IP Address","173.91.18.161",100,97,"True","2020-05-01 12:03:23","R_9nxiAxa8wkgsxhL",NA,NA,NA,NA,41.4951019287109,-81.4656982421875,"anonymous","EN","Yes, I consent to participate","cdr","White","White/European","Female",20,"Some college, no degree","A few times a day","A few times a day","Within the past hour",6594,0,2020-05-01,"female","white","CDR 1",909,60,2.61016949152542,1.48575940355768,2,60,2.38333333333333,1.50807618683896,2
"29","2020-05-018866","2020-05-01 12:58:45","2020-05-01 13:02:05","IP Address","67.176.215.99",100,199,"True","2020-05-01 13:02:05","R_3O9v6IiDR36i9Mh",NA,NA,NA,NA,41.7821044921875,-87.6045989990234,"anonymous","EN","Yes, I consent to participate","cdr","Black or African American","African American/Black/Caribbean background","Female",31,"Bachelor's degree","A few times a month","A few times a month","Within the past week",8866,0,2020-05-01,"female","black or african american","CDR 1",976,60,5.35,0.755207907169176,5,60,3.21666666666667,2.47764012014896,2.5
"30","2020-05-019706","2020-05-01 11:29:36","2020-05-01 11:30:45","IP Address","67.186.64.136",100,69,"True","2020-05-01 11:30:46","R_R1OJGdiSuaAxGKJ",NA,NA,NA,NA,41.8182983398438,-87.6094970703125,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Asian","Male",24,"Bachelor's degree","A few times a week","A few times a week","Within the past hour",9706,0,2020-05-01,"male","asian","CDR 1",782,60,2.33333333333333,0.932768190482041,3,60,1.98333333333333,1.18595833617427,2
"31","2020-05-019907","2020-05-01 10:59:30","2020-05-01 11:01:41","IP Address","67.173.10.117",100,131,"True","2020-05-01 11:01:41","R_8DqGIg5jjAAHPoJ",NA,NA,NA,NA,41.8782958984375,-87.6906967163086,"anonymous","EN","Yes, I consent to participate","CDR","Black or African American","I would say that being black has a lot of culture, though it has been greatly Americanized in comparison to other cultures. I identify as black, but my father is mixed. Sometimes I wonder if putting only black is okay, but I have been raised mainly in black culture. ","Female",19,"Some college, no degree","A few times a month","A few times a week","Within the past week",9907,0,2020-05-01,"female","black or african american","CDR 1",1003,60,5.25,1.87422300284859,6,60,2.31666666666667,2.02100551133246,1
"32","2020-05-042691","2020-05-04 12:02:37","2020-05-04 12:05:44","IP Address","24.148.35.30",100,187,"True","2020-05-04 12:05:44","R_ene0oXTgN4Xua7n",NA,NA,NA,NA,41.9904937744141,-87.6679000854492,"anonymous","EN","Yes, I consent to participate","cdr","White","I am white. I don't consider myself even to be European American because I am 4th or 5th generation of living in the U.S. I pass as white and I identify as white.","Female",27,"Master's degree","A few times a day","A few times a day","Within the past day",2691,0,2020-05-04,"female","white","CDR 1",608,60,2.98333333333333,1.6823275509545,3,60,1.93333333333333,1.59306406253629,1
"33","2020-05-043310","2020-05-04 14:00:45","2020-05-04 14:03:27","IP Address","24.13.187.212",100,161,"True","2020-05-04 14:03:27","R_3JwTilCajI8uLPf",NA,NA,NA,NA,41.9459991455078,-87.7033004760742,"anonymous","EN","Yes, I consent to participate","cdr","White","My race is white, but I was born in Russia, so I guess I personally consider myself Russian. That doesn't really come up in forms, so I usually say I'm white and only mention Russian as a language I'm fluent in.","Female",26,"Bachelor's degree","A few times a day","A few times a day","Within the past hour",3310,0,2020-05-04,"female","white","CDR 1",741,60,3.05,1.87241347020091,3,60,1.76666666666667,1.11030102295815,1
"34","2020-05-043549","2020-05-04 13:00:05","2020-05-04 13:01:57","IP Address","73.77.200.121",100,112,"True","2020-05-04 13:01:58","R_R2dfYsMsaZ23tgR",NA,NA,NA,NA,29.9340057373047,-95.6129989624023,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Chinese American","Female",21,"Some college, no degree","A few times a week","A few times a day","Within the past day",3549,0,2020-05-04,"female","asian","CDR 1",955,60,3.2,1.76404773370214,3,60,1.63333333333333,1.41381401057465,1
"35","2020-05-052168","2020-05-05 13:58:27","2020-05-05 14:01:10","IP Address","107.77.173.13",100,162,"True","2020-05-05 14:01:10","R_1M5scY9jqMqQIs9",NA,NA,NA,NA,41.7579040527344,-88.2934036254883,"anonymous","EN","Yes, I consent to participate","cdr","Hispanic","Ethnicity: Latino/Hispanic
Race: I usually put other because none of the other options apply to me","Female",19,"Graduated high school","A few times a week","A few times a day","Within the past hour",2168,0,2020-05-05,"female","hispanic","CDR 1",463,60,2.08333333333333,1.52150312238011,1,60,3.06666666666667,2.15396100767838,2
"36","2020-05-052857","2020-05-05 13:10:25","2020-05-05 13:12:05","IP Address","98.226.117.125",100,99,"True","2020-05-05 13:12:05","R_qPcJi7Ere6wz6pz",NA,NA,NA,NA,42.3294067382812,-89.0325012207031,"anonymous","EN","Yes, I consent to participate","cdr","Asian","indian","Female",21,"Bachelor's degree","Never","A few times a year","Within the past year",2857,0,2020-05-05,"female","asian","CDR 1",423,60,1.18333333333333,0.469101798307298,1,60,3.25,2.14416828330209,3
"37","2020-05-056777","2020-05-05 12:03:23","2020-05-05 12:05:32","IP Address","165.124.160.217",100,128,"True","2020-05-05 12:05:33","R_C7Ay5hVWhubOTgl",NA,NA,NA,NA,41.9555053710938,-87.6613006591797,"anonymous","EN","Yes, I consent to participate","cdr","Hispanic","Latina","Female",31,"Bachelor's degree","A few times a month","A few times a month","Within the past day",6777,0,2020-05-05,"female","hispanic","CDR 1",870,60,4.91666666666667,1.81604586915366,5,60,1.66666666666667,1.27114877533653,1
"38","2020-05-058023","2020-05-05 11:30:58","2020-05-05 11:34:20","IP Address","73.50.59.235",100,201,"True","2020-05-05 11:34:20","R_1OlQStEO2cj5AC8",NA,NA,NA,NA,41.9024963378906,-87.6725997924805,"anonymous","EN","Yes, I consent to participate","cdr","White","Race and ethnicity are physical and cultural characteristics that determine a person's life. I don't really think much of the questions when I answer on official forms, I always just give my race (white) but it's never been a concern to me.","Female",32,"Master's degree","A few times a day","A few times a day","Within the past hour",8023,0,2020-05-05,"female","white","CDR 1",443,60,4.21666666666667,1.61656327935475,4,60,2.6,1.88841248007824,2
"39","2020-05-065402","2020-05-06 12:15:34","2020-05-06 12:17:15","IP Address","108.242.174.240",100,100,"True","2020-05-06 12:17:15","R_uqtZvmKObpM8FXz",NA,NA,NA,NA,41.7619934082031,-87.5702972412109,"anonymous","EN","Yes, I consent to participate","cdr","Hispanic","Culture, Mexico, Spanish, and the dialect","Male",21,"Associate's degree","A few times an hour","A few times an hour","Within the past hour",5402,0,2020-05-06,"male","hispanic","CDR 1",1,7,5.57142857142857,1.81265393434993,6,60,2.13333333333333,2.03750151641135,1
"40","2020-05-071889","2020-05-07 14:01:22","2020-05-07 14:02:56","IP Address","50.203.81.46",100,93,"True","2020-05-07 14:02:56","R_3IQ1iPg52uPxztZ",NA,NA,NA,NA,42.3294067382812,-89.0325012207031,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Indian, South Asian","Female",19,"Some college, no degree","A few times a week","A few times a month","Within the past week",1889,0,2020-05-07,"female","asian","CDR 1",425,60,3.91666666666667,1.79728294619978,4,60,2.73333333333333,1.65566993626541,2.5
"41","2020-05-073573","2020-05-07 11:01:45","2020-05-07 11:02:54","IP Address","72.219.73.23",100,68,"True","2020-05-07 11:02:55","R_1Qsz53w5NGa5Ey8",NA,NA,NA,NA,37.7510070800781,-97.8219985961914,"anonymous","EN","Yes, I consent to participate","CDR","White","White ","Female",21,"Some college, no degree","A few times a day","A few times a day","Within the past hour",3573,0,2020-05-07,"female","white","CDR 1",899,60,3.53333333333333,1.86371841426853,3,60,1.98333333333333,1.20016477211506,1.5
"42","2020-05-075130","2020-05-07 12:01:40","2020-05-07 12:03:12","IP Address","98.227.48.119",100,92,"True","2020-05-07 12:03:13","R_Q3KKhADuuWqmqMV",NA,NA,NA,NA,41.9459991455078,-87.7033004760742,"anonymous","EN","Yes, I consent to participate","CDR","Black or African American","I'm of African descent ","Non-binary",24,"Bachelor's degree","A few times a day","A few times a week","Within the past hour",5130,0,2020-05-07,"female","black or african american","CDR 1",1250,60,3.88333333333333,1.86939369004006,4,60,2.35,1.73522821241258,2
"43","2020-05-079952","2020-05-07 13:01:42","2020-05-07 13:02:52","IP Address","73.93.148.13",100,70,"True","2020-05-07 13:02:52","R_2bID2t09D9z60gT",NA,NA,NA,NA,37.2994995117188,-121.757797241211,"anonymous","EN","Yes, I consent to participate","CDR","Asian","Indian American","Female",20,"Some college, no degree","A few times a day","A few times a day","Within the past day",9952,0,2020-05-07,"female","asian","CDR 1",888,60,2.51666666666667,1.30827440581246,2.5,60,2.88333333333333,2.17919022953417,2
"44","2020-05-083424","2020-05-08 10:51:48","2020-05-08 10:55:38","IP Address","144.64.163.113",100,229,"True","2020-05-08 10:55:39","R_3OlDxMaxb5DooWE",NA,NA,NA,NA,38.5251007080078,-8.88729858398438,"anonymous","EN","Yes, I consent to participate","cdr","White","white, caucasian","Female",54,"Bachelor's degree","A few times a day","A few times a week","Within the past hour",3424,0,2020-05-08,"female","white","CDR 1",43,60,2.91666666666667,2.02770360775532,3,60,1.5,1.40820838211453,1
"45","2020-05-086567","2020-05-08 11:01:22","2020-05-08 11:04:38","IP Address","76.16.229.3",100,196,"True","2020-05-08 11:04:39","R_6fiweHpThURQVtn",NA,NA,NA,NA,41.8986053466797,-87.7379989624023,"anonymous","EN","Yes, I consent to participate","cdr","Hispanic","I think about my Hispanic culture. 
First-generation and Spanish speaking. ","Female",22,"Bachelor's degree","A few times a day","A few times a day","Within the past day",6567,0,2020-05-08,"female","hispanic","CDR 1",132,60,3.38333333333333,1.73783097485778,3,60,1.78333333333333,1.519273540346,1
"46","2020-05-089136","2020-05-08 12:33:52","2020-05-08 12:35:16","IP Address","205.208.121.109",100,83,"True","2020-05-08 12:35:16","R_3iQB6Fbs9IitrPe",NA,NA,NA,NA,41.9409027099609,-87.6531982421875,"anonymous","EN","Yes, I consent to participate","cdr","White","White","Female",27,"Professional degree","A few times a day","A few times a day","Within the past hour",9136,0,2020-05-08,"female","white","CDR 1",1716,60,2,1.07356526251614,2,60,2.98333333333333,2.46667048404041,1.5
"47","2020-05-089146","2020-05-08 12:31:55","2020-05-08 12:33:07","IP Address","174.20.110.96",100,71,"True","2020-05-08 12:33:07","R_27JWlJgHmh4JCzz",NA,NA,NA,NA,45.0635986328125,-93.2985000610352,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Chinese American","Non-binary",19,"Some college, no degree","A few times a week","A few times a week","Within the past week",9146,0,2020-05-08,"female","asian","CDR 1",366,60,3.4,1.21012676181507,3,60,1.41666666666667,0.94405663911288,1
"48","2020-05-111989","2020-05-11 12:32:25","2020-05-11 13:16:22","IP Address","67.176.179.82",100,2637,"True","2020-05-11 13:16:23","R_28OkZfVWjaHkm8O",NA,NA,NA,NA,41.7821044921875,-87.6045989990234,"anonymous","EN","Yes, I consent to participate","cdr","Black or African American","I was born and raised as African American, but my grandmother I believe, is Native American, Cherokee. I usually like to go with Black, but most of the time only African American is listed.","Female",33,"Some college, no degree","A few times an hour","A few times an hour","Within the past hour",1989,0,2020-05-11,"female","black or african american","CDR 1",936,60,4.73333333333333,2.0573692817727,5,60,2.31666666666667,2.22079285480542,1
"49","2020-05-114706","2020-05-11 14:01:10","2020-05-11 14:03:13","IP Address","98.156.137.126",100,122,"True","2020-05-11 14:03:13","R_3KZRHAW3nZOd6ro",NA,NA,NA,NA,30.4031982421875,-97.7529983520508,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Bangladeshi","Female",20,"Some college, no degree","A few times a day","A few times a day","Within the past hour",4706,0,2020-05-11,"female","asian","CDR 1",343,60,3.91666666666667,2.2943679508277,4,60,2.6,2.4300380132341,1
"50","2020-05-117602","2020-05-11 13:24:16","2020-05-11 13:25:42","IP Address","172.58.143.35",100,85,"True","2020-05-11 13:25:42","R_31Qne4bwqyydBZY",NA,NA,NA,NA,41.8883056640625,-87.7612991333008,"anonymous","EN","Yes, I consent to participate","cdr","Black or African American","black
","Male",45,"Some college, no degree","A few times an hour","A few times a day","Within the past hour",7602,0,2020-05-11,"male","black or african american","CDR 1",867,60,6.7,0.696236858196881,7,60,1.53333333333333,1.68207566151866,1
"51","2020-05-119114","2020-05-11 12:03:19","2020-05-11 12:05:17","IP Address","67.176.159.36",100,118,"True","2020-05-11 12:05:18","R_3kaKVMp262x3fzI",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","White","White. Always just white.  I can get into ancestry, but it doesn't seem important.  White is white.  ","Female",26,"Master's degree","A few times an hour","A few times an hour","Within the past hour",9114,0,2020-05-11,"female","white","CDR 1",808,60,4.28333333333333,1.341535506099,5,60,2.95,1.93474038025339,3
"52","2020-05-121283","2020-05-12 14:02:29","2020-05-12 14:03:50","IP Address","73.9.96.24",100,81,"True","2020-05-12 14:03:51","R_1pzDF8YZ3J6PriI",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","Asian","East Asian/Chinese","Female",21,"Some college, no degree","A few times a day","A few times a day","Within the past day",1283,0,2020-05-12,"female","asian","CDR 1",797,60,2.65,1.32543564951941,2.5,60,2.11666666666667,1.341535506099,2
