"","primary.id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q2","self.race","self.race.free","gender","age","education","covid.usage","pre.covid.usage","last.login","subject_id","date","subject_gender_RA","subject_race_RA"
"24","2020-05-012232","2020-05-01 12:30:43","2020-05-01 12:33:39","IP Address","165.124.167.1",100,176,"True","2020-05-01 12:33:40","R_2zHfv3uiM8Y4KMK",NA,NA,NA,NA,42.0106964111328,-87.6657028198242,"anonymous","EN","Yes, I consent to participate","cdr","White","White (Caucasian)","Male",51,"Master's degree","A few times a week","A few times a week","Within the past hour",2232,2020-05-01,"male","white"
"25","2020-05-013192","2020-05-01 14:02:57","2020-05-01 14:06:12","IP Address","98.226.143.31",100,195,"True","2020-05-01 14:06:13","R_qCJLdGXktYJpRwl",NA,NA,NA,NA,41.7821044921875,-87.6045989990234,"anonymous","EN","Yes, I consent to participate","cdr","Two or more","For my race, I consider myself white. For ethnicity, I consider myself Jewish and Hispanic (my family is from Argentina on my mom's side). I was also born in Israel and my family goes back to the Middle East and Turkey as well, so it's sometimes hard to really summarize my ethnic background in forms.","Female",21,"Some college, no degree","A few times an hour","A few times a day","Within the past hour",3192,2020-05-01,"female","asian"
"26","2020-05-013763","2020-05-01 12:28:57","2020-05-01 12:30:31","IP Address","67.48.113.3",100,93,"True","2020-05-01 12:30:31","R_qwqqtgAivT9A9Jn",NA,NA,NA,NA,37.0941009521484,-81.8123016357422,"anonymous","EN","Yes, I consent to participate","cdr","Asian","South Asian","Female",34,"Professional degree","A few times a week","A few times a week","Within the past day",3763,2020-05-01,"female","asian"
"27","2020-05-015099","2020-05-01 13:33:47","2020-05-01 13:35:37","IP Address","73.9.102.133",100,109,"True","2020-05-01 13:35:37","R_1eWeY7hHd2uDYqK",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","Two or more","I'd say I'm an Italian-Argentinean person, since almost all of my heritage is from Italy I'm an Italian citizen but was born in Argentina.","Male",25,"Bachelor's degree","A few times a day","A few times a week","Within the past hour",5099,2020-05-01,"male","hispanic"
"28","2020-05-016594","2020-05-01 12:01:45","2020-05-01 12:03:23","IP Address","173.91.18.161",100,97,"True","2020-05-01 12:03:23","R_9nxiAxa8wkgsxhL",NA,NA,NA,NA,41.4951019287109,-81.4656982421875,"anonymous","EN","Yes, I consent to participate","cdr","White","White/European","Female",20,"Some college, no degree","A few times a day","A few times a day","Within the past hour",6594,2020-05-01,"female","white"
"29","2020-05-018866","2020-05-01 12:58:45","2020-05-01 13:02:05","IP Address","67.176.215.99",100,199,"True","2020-05-01 13:02:05","R_3O9v6IiDR36i9Mh",NA,NA,NA,NA,41.7821044921875,-87.6045989990234,"anonymous","EN","Yes, I consent to participate","cdr","Black or African American","African American/Black/Caribbean background","Female",31,"Bachelor's degree","A few times a month","A few times a month","Within the past week",8866,2020-05-01,"female","black or african american"
"30","2020-05-019706","2020-05-01 11:29:36","2020-05-01 11:30:45","IP Address","67.186.64.136",100,69,"True","2020-05-01 11:30:46","R_R1OJGdiSuaAxGKJ",NA,NA,NA,NA,41.8182983398438,-87.6094970703125,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Asian","Male",24,"Bachelor's degree","A few times a week","A few times a week","Within the past hour",9706,2020-05-01,"male","asian"
"31","2020-05-019907","2020-05-01 10:59:30","2020-05-01 11:01:41","IP Address","67.173.10.117",100,131,"True","2020-05-01 11:01:41","R_8DqGIg5jjAAHPoJ",NA,NA,NA,NA,41.8782958984375,-87.6906967163086,"anonymous","EN","Yes, I consent to participate","CDR","Black or African American","I would say that being black has a lot of culture, though it has been greatly Americanized in comparison to other cultures. I identify as black, but my father is mixed. Sometimes I wonder if putting only black is okay, but I have been raised mainly in black culture. ","Female",19,"Some college, no degree","A few times a month","A few times a week","Within the past week",9907,2020-05-01,"female","black or african american"
"32","2020-05-042691","2020-05-04 12:02:37","2020-05-04 12:05:44","IP Address","24.148.35.30",100,187,"True","2020-05-04 12:05:44","R_ene0oXTgN4Xua7n",NA,NA,NA,NA,41.9904937744141,-87.6679000854492,"anonymous","EN","Yes, I consent to participate","cdr","White","I am white. I don't consider myself even to be European American because I am 4th or 5th generation of living in the U.S. I pass as white and I identify as white.","Female",27,"Master's degree","A few times a day","A few times a day","Within the past day",2691,2020-05-04,"female","white"
"33","2020-05-043310","2020-05-04 14:00:45","2020-05-04 14:03:27","IP Address","24.13.187.212",100,161,"True","2020-05-04 14:03:27","R_3JwTilCajI8uLPf",NA,NA,NA,NA,41.9459991455078,-87.7033004760742,"anonymous","EN","Yes, I consent to participate","cdr","White","My race is white, but I was born in Russia, so I guess I personally consider myself Russian. That doesn't really come up in forms, so I usually say I'm white and only mention Russian as a language I'm fluent in.","Female",26,"Bachelor's degree","A few times a day","A few times a day","Within the past hour",3310,2020-05-04,"female","white"
"34","2020-05-043549","2020-05-04 13:00:05","2020-05-04 13:01:57","IP Address","73.77.200.121",100,112,"True","2020-05-04 13:01:58","R_R2dfYsMsaZ23tgR",NA,NA,NA,NA,29.9340057373047,-95.6129989624023,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Chinese American","Female",21,"Some college, no degree","A few times a week","A few times a day","Within the past day",3549,2020-05-04,"female","asian"
"35","2020-05-052168","2020-05-05 13:58:27","2020-05-05 14:01:10","IP Address","107.77.173.13",100,162,"True","2020-05-05 14:01:10","R_1M5scY9jqMqQIs9",NA,NA,NA,NA,41.7579040527344,-88.2934036254883,"anonymous","EN","Yes, I consent to participate","cdr","Hispanic","Ethnicity: Latino/Hispanic
Race: I usually put other because none of the other options apply to me","Female",19,"Graduated high school","A few times a week","A few times a day","Within the past hour",2168,2020-05-05,"female","hispanic"
"36","2020-05-052857","2020-05-05 13:10:25","2020-05-05 13:12:05","IP Address","98.226.117.125",100,99,"True","2020-05-05 13:12:05","R_qPcJi7Ere6wz6pz",NA,NA,NA,NA,42.3294067382812,-89.0325012207031,"anonymous","EN","Yes, I consent to participate","cdr","Asian","indian","Female",21,"Bachelor's degree","Never","A few times a year","Within the past year",2857,2020-05-05,"female","asian"
"37","2020-05-056777","2020-05-05 12:03:23","2020-05-05 12:05:32","IP Address","165.124.160.217",100,128,"True","2020-05-05 12:05:33","R_C7Ay5hVWhubOTgl",NA,NA,NA,NA,41.9555053710938,-87.6613006591797,"anonymous","EN","Yes, I consent to participate","cdr","Hispanic","Latina","Female",31,"Bachelor's degree","A few times a month","A few times a month","Within the past day",6777,2020-05-05,"female","hispanic"
"38","2020-05-058023","2020-05-05 11:30:58","2020-05-05 11:34:20","IP Address","73.50.59.235",100,201,"True","2020-05-05 11:34:20","R_1OlQStEO2cj5AC8",NA,NA,NA,NA,41.9024963378906,-87.6725997924805,"anonymous","EN","Yes, I consent to participate","cdr","White","Race and ethnicity are physical and cultural characteristics that determine a person's life. I don't really think much of the questions when I answer on official forms, I always just give my race (white) but it's never been a concern to me.","Female",32,"Master's degree","A few times a day","A few times a day","Within the past hour",8023,2020-05-05,"female","white"
"39","2020-05-065402","2020-05-06 12:15:34","2020-05-06 12:17:15","IP Address","108.242.174.240",100,100,"True","2020-05-06 12:17:15","R_uqtZvmKObpM8FXz",NA,NA,NA,NA,41.7619934082031,-87.5702972412109,"anonymous","EN","Yes, I consent to participate","cdr","Hispanic","Culture, Mexico, Spanish, and the dialect","Male",21,"Associate's degree","A few times an hour","A few times an hour","Within the past hour",5402,2020-05-06,"male","hispanic"
"40","2020-05-071889","2020-05-07 14:01:22","2020-05-07 14:02:56","IP Address","50.203.81.46",100,93,"True","2020-05-07 14:02:56","R_3IQ1iPg52uPxztZ",NA,NA,NA,NA,42.3294067382812,-89.0325012207031,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Indian, South Asian","Female",19,"Some college, no degree","A few times a week","A few times a month","Within the past week",1889,2020-05-07,"female","asian"
"41","2020-05-073573","2020-05-07 11:01:45","2020-05-07 11:02:54","IP Address","72.219.73.23",100,68,"True","2020-05-07 11:02:55","R_1Qsz53w5NGa5Ey8",NA,NA,NA,NA,37.7510070800781,-97.8219985961914,"anonymous","EN","Yes, I consent to participate","CDR","White","White ","Female",21,"Some college, no degree","A few times a day","A few times a day","Within the past hour",3573,2020-05-07,"female","white"
"42","2020-05-075130","2020-05-07 12:01:40","2020-05-07 12:03:12","IP Address","98.227.48.119",100,92,"True","2020-05-07 12:03:13","R_Q3KKhADuuWqmqMV",NA,NA,NA,NA,41.9459991455078,-87.7033004760742,"anonymous","EN","Yes, I consent to participate","CDR","Black or African American","I'm of African descent ","Non-binary",24,"Bachelor's degree","A few times a day","A few times a week","Within the past hour",5130,2020-05-07,"female","black or african american"
"43","2020-05-079952","2020-05-07 13:01:42","2020-05-07 13:02:52","IP Address","73.93.148.13",100,70,"True","2020-05-07 13:02:52","R_2bID2t09D9z60gT",NA,NA,NA,NA,37.2994995117188,-121.757797241211,"anonymous","EN","Yes, I consent to participate","CDR","Asian","Indian American","Female",20,"Some college, no degree","A few times a day","A few times a day","Within the past day",9952,2020-05-07,"female","asian"
"44","2020-05-083424","2020-05-08 10:51:48","2020-05-08 10:55:38","IP Address","144.64.163.113",100,229,"True","2020-05-08 10:55:39","R_3OlDxMaxb5DooWE",NA,NA,NA,NA,38.5251007080078,-8.88729858398438,"anonymous","EN","Yes, I consent to participate","cdr","White","white, caucasian","Female",54,"Bachelor's degree","A few times a day","A few times a week","Within the past hour",3424,2020-05-08,"female","white"
"45","2020-05-086567","2020-05-08 11:01:22","2020-05-08 11:04:38","IP Address","76.16.229.3",100,196,"True","2020-05-08 11:04:39","R_6fiweHpThURQVtn",NA,NA,NA,NA,41.8986053466797,-87.7379989624023,"anonymous","EN","Yes, I consent to participate","cdr","Hispanic","I think about my Hispanic culture. 
First-generation and Spanish speaking. ","Female",22,"Bachelor's degree","A few times a day","A few times a day","Within the past day",6567,2020-05-08,"female","hispanic"
"46","2020-05-089136","2020-05-08 12:33:52","2020-05-08 12:35:16","IP Address","205.208.121.109",100,83,"True","2020-05-08 12:35:16","R_3iQB6Fbs9IitrPe",NA,NA,NA,NA,41.9409027099609,-87.6531982421875,"anonymous","EN","Yes, I consent to participate","cdr","White","White","Female",27,"Professional degree","A few times a day","A few times a day","Within the past hour",9136,2020-05-08,"female","white"
"47","2020-05-089146","2020-05-08 12:31:55","2020-05-08 12:33:07","IP Address","174.20.110.96",100,71,"True","2020-05-08 12:33:07","R_27JWlJgHmh4JCzz",NA,NA,NA,NA,45.0635986328125,-93.2985000610352,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Chinese American","Non-binary",19,"Some college, no degree","A few times a week","A few times a week","Within the past week",9146,2020-05-08,"female","asian"
"48","2020-05-111989","2020-05-11 12:32:25","2020-05-11 13:16:22","IP Address","67.176.179.82",100,2637,"True","2020-05-11 13:16:23","R_28OkZfVWjaHkm8O",NA,NA,NA,NA,41.7821044921875,-87.6045989990234,"anonymous","EN","Yes, I consent to participate","cdr","Black or African American","I was born and raised as African American, but my grandmother I believe, is Native American, Cherokee. I usually like to go with Black, but most of the time only African American is listed.","Female",33,"Some college, no degree","A few times an hour","A few times an hour","Within the past hour",1989,2020-05-11,"female","black or african american"
"49","2020-05-114706","2020-05-11 14:01:10","2020-05-11 14:03:13","IP Address","98.156.137.126",100,122,"True","2020-05-11 14:03:13","R_3KZRHAW3nZOd6ro",NA,NA,NA,NA,30.4031982421875,-97.7529983520508,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Bangladeshi","Female",20,"Some college, no degree","A few times a day","A few times a day","Within the past hour",4706,2020-05-11,"female","asian"
"50","2020-05-117602","2020-05-11 13:24:16","2020-05-11 13:25:42","IP Address","172.58.143.35",100,85,"True","2020-05-11 13:25:42","R_31Qne4bwqyydBZY",NA,NA,NA,NA,41.8883056640625,-87.7612991333008,"anonymous","EN","Yes, I consent to participate","cdr","Black or African American","black
","Male",45,"Some college, no degree","A few times an hour","A few times a day","Within the past hour",7602,2020-05-11,"male","black or african american"
"51","2020-05-119114","2020-05-11 12:03:19","2020-05-11 12:05:17","IP Address","67.176.159.36",100,118,"True","2020-05-11 12:05:18","R_3kaKVMp262x3fzI",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","White","White. Always just white.  I can get into ancestry, but it doesn't seem important.  White is white.  ","Female",26,"Master's degree","A few times an hour","A few times an hour","Within the past hour",9114,2020-05-11,"female","white"
"52","2020-05-121283","2020-05-12 14:02:29","2020-05-12 14:03:50","IP Address","73.9.96.24",100,81,"True","2020-05-12 14:03:51","R_1pzDF8YZ3J6PriI",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","Asian","East Asian/Chinese","Female",21,"Some college, no degree","A few times a day","A few times a day","Within the past day",1283,2020-05-12,"female","asian"
"53","2020-05-121851","2020-05-12 11:38:57","2020-05-12 11:41:10","IP Address","24.148.90.168",100,133,"True","2020-05-12 11:41:11","R_d6yYgHj1LugBX4R",NA,NA,NA,NA,42.0095977783203,-87.6928024291992,"anonymous","EN","Yes, I consent to participate","cdr","Hispanic","Common but uncommon. More so a why? ","Female",33,"Some college, no degree","A few times a week","Never","Within the past hour",1851,2020-05-12,"female","black or african american"
"54","2020-05-122751","2020-05-12 13:02:13","2020-05-12 13:04:50","IP Address","72.207.7.17",100,156,"True","2020-05-12 13:04:50","R_rlET4dYt0wkGWpb",NA,NA,NA,NA,33.0312957763672,-116.857894897461,"anonymous","EN","Yes, I consent to participate","cdr","White","I would describe my race and ethnicity as generic Western European origin (mostly German, British, and French) American. Generally describe it as White, as I dislike the term Caucasian in this usage.","Female",23,"Bachelor's degree","A few times a day","A few times a day","Within the past day",2751,2020-05-12,"female","white"
"55","2020-05-122768","2020-05-12 14:03:10","2020-05-12 14:04:42","IP Address","207.237.214.237",100,91,"True","2020-05-12 14:04:42","R_1IFWaNRs7Fuqkgh",NA,NA,NA,NA,41.9904937744141,-87.6679000854492,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Indian origin, but from the Pacific. ","Male",33,"Master's degree","A few times a month","A few times a month","Within the past hour",2768,2020-05-12,"male","asian"
"56","2020-05-122846","2020-05-12 11:02:09","2020-05-12 11:03:07","IP Address","73.22.103.246",100,58,"True","2020-05-12 11:03:07","R_3gSp78JZEyjarBR",NA,NA,NA,NA,41.9214935302734,-87.6445999145508,"anonymous","EN","Yes, I consent to participate","cdr","Hispanic","Hispanic/Latina","Female",23,"Bachelor's degree","A few times an hour","A few times an hour","Within the past hour",2846,2020-05-12,"female","hispanic"
"57","2020-05-122886","2020-05-12 12:01:39","2020-05-12 12:05:06","IP Address","38.106.150.170",100,207,"True","2020-05-12 12:05:07","R_DjHKepzq58EyYEx",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","Black or African American","I wonder why black and African American are grouped together, that doesn't say much if I'm a black person from Africa or some other continent","Female",36,"Master's degree","A few times a day","A few times a month","Within the past hour",2886,2020-05-12,"female","black or african american"
"58","2020-05-127083","2020-05-12 13:01:32","2020-05-12 13:03:08","IP Address","136.30.238.35",100,95,"True","2020-05-12 13:03:08","R_12AyfLGGIaokso9",NA,NA,NA,NA,41.9208984375,-87.7042999267578,"anonymous","EN","Yes, I consent to participate","cdr","White","Caucasian of an Eastern European discent, Jewish.","Female",43,"Master's degree","A few times a day","A few times a day","Within the past hour",7083,2020-05-12,"female","white"
"59","2020-05-127599","2020-05-12 10:03:47","2020-05-12 10:06:03","IP Address","208.59.145.131",100,136,"True","2020-05-12 10:06:04","R_2YldvdOuSpHH9lE",NA,NA,NA,NA,41.8486022949219,-87.6287994384766,"anonymous","EN","Yes, I consent to participate","CDR","Black or African American","African-American","Female",51,"Master's degree","A few times a day","A few times a day","Within the past hour",7599,2020-05-12,"female","black or african american"
"60","2020-05-133383","2020-05-13 14:01:02","2020-05-13 14:04:29","IP Address","216.80.68.115",100,207,"True","2020-05-13 14:04:30","R_bE33wdEc9YtyfvP",NA,NA,NA,NA,41.9703063964844,-87.6640014648438,"anonymous","EN","Yes, I consent to participate","cdr","White","I am a half Swede half Eastern European Jew hybrid!","Female",62,"Bachelor's degree","A few times an hour","A few times an hour","Within the past hour",3383,2020-05-13,"female","white"
"61","2020-05-135572","2020-05-13 13:29:22","2020-05-13 13:31:13","IP Address","24.12.226.72",100,110,"True","2020-05-13 13:31:13","R_3luxbiovJdKziFS",NA,NA,NA,NA,41.9459991455078,-87.7033004760742,"anonymous","EN","Yes, I consent to participate","cdr","White","White, with Irish and German heritage","Female",29,"Master's degree","A few times an hour","A few times a day","Within the past hour",5572,2020-05-13,"female","white"
"62","2020-05-136501","2020-05-13 11:07:08","2020-05-13 11:11:33","IP Address","174.221.141.201",100,265,"True","2020-05-13 11:11:34","R_xyXnJf5xJc5vJWp",NA,NA,NA,NA,41.6672058105469,-87.5625,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Asian - Chinese origin
Sometimes I think about issues related to racial equality when I fill out the race section of various forms.","Female",28,"Master's degree","A few times a week","A few times a week","Within the past hour",6501,2020-05-13,"female","asian"
"63","2020-05-137164","2020-05-13 12:14:37","2020-05-13 12:16:26","IP Address","104.153.230.233",100,109,"True","2020-05-13 12:16:26","R_3ma8lQnOn58CqtY",NA,NA,NA,NA,41.8796997070312,-87.6435012817383,"anonymous","EN","Yes, I consent to participate","CDR","White","White and caucasian","Female",60,"Bachelor's degree","A few times a day","A few times a week","Within the past day",7164,2020-05-13,"female","white"
"64","2020-05-138924","2020-05-13 11:58:58","2020-05-13 12:00:37","IP Address","69.245.206.255",100,99,"True","2020-05-13 12:00:38","R_8p19hZcoArk0hX3",NA,NA,NA,NA,41.9409027099609,-87.6531982421875,"anonymous","EN","Yes, I consent to participate","CDR","Black or African American","Black/African American. I am Black from America and I am African American. ","Female",25,"Bachelor's degree","A few times an hour","A few times a day","Within the past hour",8924,2020-05-13,"female","black or african american"
