"","user_age","clean_edu","user_frequency","user_genre","genre.match","rating.y","rec_gender","rec_race","clicked","race.simple.f","user_gender","user_id","in.group.lax","prediction.slow","rank.slow","top","prediction.fast","rank.fast"
"19",48,"more.than.bachelors","Several times a month","Action and adventure",1,9,"Female","Hispanic",1,"White","Male","R97CTCzWKK",FALSE,0.4,5,TRUE,0.4268,4
"20",38,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Male","Hispanic",1,"White","Male","SpYP1WieA5",TRUE,0.812,1,TRUE,0.78,2
"21",18,"less.than.bachelors","Several times a month","Action and adventure",1,9,"Male","White",0,"White","Female","dT5gjvvKNp",TRUE,0,15,FALSE,0.1308,7
"22",30,"more.than.bachelors","Several times a month","Action and adventure",1,9,"Female","White",1,"Black","Male","DPIVbuJVgw",FALSE,0.0716,2,TRUE,0.0672,5
"23",23,"less.than.bachelors","Several times a week","Other",0,9,"Female","White",0,"Hispanic","Male","dU3mraKUfC",FALSE,0.2232,15,FALSE,0.2308,4
"24",21,"less.than.bachelors","Several times a month","Comedy",0,9,"Female","White",1,"White","Female","uTnjwZvZpJ",TRUE,0.0104,19,FALSE,0,29
"25",21,"less.than.bachelors","Several times a month","Other",0,9,"Female","White",1,"Hispanic","Female","M4zFaiv8ID",TRUE,0.4744,1,TRUE,0.0756,10
"26",27,"more.than.bachelors","Once a month","Comedy",0,9,"Male","White",1,"White","Female","r9yF42zm1v",TRUE,0.0024,17,FALSE,0.1812,4
"27",31,"more.than.bachelors","Several times a week","Science Fiction",1,9,"Male","White",0,"Black","Male","H6CnY8zRGd",TRUE,0.7572,1,TRUE,0.4344,1
"28",20,"less.than.bachelors","Several times a week","Science Fiction",1,9,"Female","White",1,"White","Male","ddXc8zGlCs",TRUE,0.3268,8,FALSE,0.6128,3
"29",39,"more.than.bachelors","Several times a month","Historical",0,9,"Male","White",1,"White","Male","QMzdhrFo38",TRUE,0.246,5,TRUE,0.3928,2
"30",35,"more.than.bachelors","Several times a month","Action and adventure",1,9,"Female","Hispanic",0,"White","Male","dmdcJlmqta",FALSE,0.3816,2,TRUE,0.3172,3
"31",34,"more.than.bachelors","Several times a month","Action and adventure",1,9,"Male","Black",0,"Black","Male","DZAhEvMQCp",TRUE,0.682,1,TRUE,0.3796,2
"32",43,"more.than.bachelors","A few times a year","Action and adventure",1,9,"Male","White",0,"White","Male","5AOBGCwNxq",TRUE,0.89,2,TRUE,0.57,1
"33",47,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Male","White",1,"White","Male","KSuFElBEqY",TRUE,0.6004,1,TRUE,0.8812,1
"34",35,"more.than.bachelors","Several times a week","Drama",0,9,"Male","White",0,"White","Female","wQ20gKntYX",TRUE,0.0216,25,FALSE,0.3516,11
"35",18,"less.than.bachelors","Several times a month","Horror",0,9,"Female","Hispanic",1,"Hispanic","Female","OSyX2tLoqv",TRUE,0.4264,1,TRUE,0.1568,1
"36",20,"less.than.bachelors","Several times a month","Comedy",0,9,"Male","White",0,"Hispanic","Female","T0vnVA49MR",FALSE,0.006,36,FALSE,0,32
"37",21,"less.than.bachelors","Once a month","Comedy",0,9,"Male","White",1,"Hispanic","Male","dxw9mNQ84H",TRUE,0.1348,20,FALSE,0.1072,14
"38",33,"less.than.bachelors","Several times a month","Horror",0,9,"Male","White",1,"White","Male","mHqCqThdDJ",TRUE,0.124,27,FALSE,0.216,19
"39",24,"bachelors","Several times a month","Comedy",0,9,"Male","White",0,"White","Female","qyiNjBDsy3",TRUE,0.014,36,FALSE,8e-04,33
"40",19,"less.than.bachelors","Several times a week","Horror",0,9,"Female","White",0,"Hispanic","Female","9Gr73FrE0L",TRUE,0.006,31,FALSE,0.0328,16
"41",31,"more.than.bachelors","Several times a month","Drama",0,9,"Male","White",0,"White","Female","chIWksfoJv",TRUE,0.1436,27,FALSE,0.2436,16
"42",25,"more.than.bachelors","Every day","Horror",0,9,"Female","White",1,"White","Female","cseqUAoOIQ",TRUE,0.1012,14,FALSE,0.2288,22
"43",27,"more.than.bachelors","Several times a month","Action and adventure",1,9,"Male","White",0,"White","Male","no9gRE9jjN",TRUE,0.4704,11,FALSE,0.2756,9
"44",36,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Male","White",1,"Hispanic","Male","txvG4WC4e1",TRUE,0.5284,2,TRUE,0.362,7
"45",29,"bachelors","Several times a week","Horror",0,9,"Male","Black",1,"White","Female","rMHnpss7OQ",FALSE,0.0032,25,FALSE,0.1468,11
"46",19,"less.than.bachelors","Several times a month","Horror",0,9,"Female","White",0,"White","Female","BiKPsh1GbG",TRUE,0.06,24,FALSE,0.04,25
"47",23,"bachelors","Several times a month","Drama",0,9,"Male","White",1,"Hispanic","Female","zob0HSXZl2",FALSE,0.1092,11,FALSE,0.0112,35
"48",25,"more.than.bachelors","Several times a month","Drama",0,9,"Male","Hispanic",0,"Hispanic","Female","3j6oTZyi92",TRUE,0.0512,25,FALSE,0.0396,27
"49",33,"more.than.bachelors","Several times a month","Other",0,9,"Female","Hispanic",0,"Hispanic","Female","Uv8kE8o4sU",TRUE,0.3316,1,TRUE,0.1872,16
"50",26,"bachelors","Several times a week","Horror",0,9,"Female","White",0,"White","Female","fzsv7M2MZE",TRUE,0.0976,10,FALSE,0.2212,5
"51",42,"less.than.bachelors","Several times a week","Action and adventure",1,9,"Male","White",0,"White","Male","0nshxEK9nz",TRUE,0.2916,2,TRUE,0.3296,2
"52",34,"more.than.bachelors","Several times a week","Comedy",0,9,"Male","White",0,"White","Male","GLy0MIGNiD",TRUE,0.2844,6,TRUE,0.5532,2
"53",43,"more.than.bachelors","Several times a week","Animation",0,9,"Male","Black",0,"White","Male","moNRNvgIWu",TRUE,0.3072,4,TRUE,0.58,2
"54",55,"more.than.bachelors","Several times a month","Drama",0,9,"Female","White",1,"White","Male","AygSGc9Sut",TRUE,0.6356,3,TRUE,0.1432,6
"55",20,"less.than.bachelors","Several times a month","Action and adventure",1,9,"Male","White",1,"Hispanic","Female","BVSVWyOPnU",FALSE,0.2912,4,TRUE,0.0524,17
"56",27,"bachelors","Once a month","Drama",0,9,"Male","White",1,"White","Female","Ezkouh5Yxg",TRUE,0.0188,14,FALSE,0,12
"57",26,"bachelors","Several times a week","Drama",0,9,"Male","White",0,"Hispanic","Female","qfggUPb9ZV",FALSE,0.1144,6,TRUE,0.1156,6
"58",30,"more.than.bachelors","Several times a week","Science Fiction",1,9,"Male","White",1,"White","Male","HLKatvUnnm",TRUE,0.4748,1,TRUE,0.5548,1
"59",23,"bachelors","Several times a month","Drama",0,9,"Female","Hispanic",0,"White","Female","ZnxhKjD9HO",TRUE,0.468,2,TRUE,0.1468,7
"60",50,"less.than.bachelors","Several times a month","Action and adventure",1,9,"Male","Hispanic",0,"White","Male","mLAjfVSpay",TRUE,0.3032,5,TRUE,0.228,14
"61",30,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Male","White",1,"White","Male","GzfAPVswP3",TRUE,0.064,7,FALSE,0.5556,3
"62",22,"less.than.bachelors","Several times a month","Other",0,9,"Female","White",1,"Hispanic","Female","8P1MsqXGov",TRUE,0.0788,8,FALSE,0.014,9
"63",31,"bachelors","Once a month","Horror",0,9,"Female","Hispanic",1,"Black","Male","hKh7rot50R",FALSE,0.3316,2,TRUE,0.12,11
"64",23,"less.than.bachelors","Several times a month","Horror",0,9,"Female","White",1,"White","Female","ZBbtrfl1rj",TRUE,0.0956,9,FALSE,0.042,29
"65",22,"bachelors","Several times a month","Other",0,9,"Female","White",0,"White","Female","6Juo3GZZ8b",TRUE,0.068,31,FALSE,0.0144,23
"66",20,"less.than.bachelors","Several times a month","Action and adventure",1,9,"Male","White",0,"White","Female","FvKToym9tL",TRUE,0.526,6,TRUE,0.4144,1
"67",50,"more.than.bachelors","Several times a month","Other",0,9,"Female","White",0,"White","Female","CojjV9tz6U",TRUE,0.2208,35,FALSE,0.3856,16
"68",25,"bachelors","Several times a week","Horror",0,9,"Male","Hispanic",0,"White","Male","q8d6iUXUoN",TRUE,0.1736,6,TRUE,0.1444,9
"69",28,"bachelors","Several times a week","Horror",0,9,"Male","Hispanic",1,"White","Female","J3HuVBjodD",FALSE,0.1176,5,TRUE,0.2692,2
"70",34,"less.than.bachelors","Several times a month","Drama",0,9,"Male","White",0,"White","Female","M1Cc5UBl5b",TRUE,0.1048,23,FALSE,0.0192,24
"71",30,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Male","White",0,"White","Male","ZYCAHDL9xy",TRUE,0.064,16,FALSE,0.5556,1
"72",19,"less.than.bachelors","Several times a month","Horror",0,9,"Male","White",0,"Hispanic","Female","vcNwY5aMp1",FALSE,0.0564,32,FALSE,0.0248,33
"73",23,"less.than.bachelors","Once a month","Horror",0,9,"Male","Black",0,"White","Female","gOxPAfDAZI",FALSE,0.0736,13,FALSE,0.1188,24
"74",35,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Male","White",1,"White","Male","TMuBMzVPUl",TRUE,0.4216,1,TRUE,0.4364,2
"75",30,"more.than.bachelors","Several times a month","Drama",0,9,"Female","White",0,"White","Female","KhX8dcJKen",TRUE,0.1188,8,FALSE,0.1568,6
"76",27,"bachelors","A few times a year","Historical",0,9,"Male","White",1,"White","Female","r3I6icZWNr",TRUE,0.042,39,FALSE,0.0732,23
"77",21,"less.than.bachelors","Several times a month","Other",0,9,"Male","White",0,"Hispanic","Female","M4zFaiv8ID",FALSE,0.1372,7,FALSE,0.0216,28
"78",31,"bachelors","Several times a week","Action and adventure",1,9,"Male","White",1,"Black","Male","Qivfv2KpmG",TRUE,0.4876,3,TRUE,0.1952,10
"79",50,"less.than.bachelors","Several times a month","Action and adventure",1,9,"Female","White",1,"White","Male","mLAjfVSpay",TRUE,0.3028,7,FALSE,0.4752,3
"80",23,"less.than.bachelors","Once a month","Horror",0,9,"Male","Black",0,"White","Female","gOxPAfDAZI",FALSE,0.0736,12,FALSE,0.1188,23
"81",21,"less.than.bachelors","Once a month","Comedy",0,9,"Male","White",1,"Hispanic","Male","dxw9mNQ84H",TRUE,0.1348,21,FALSE,0.1072,15
"82",31,"more.than.bachelors","Several times a month","Drama",1,9,"Female","Hispanic",0,"White","Female","chIWksfoJv",TRUE,0.2656,8,FALSE,0.454,2
"83",20,"less.than.bachelors","Several times a week","Science Fiction",0,9,"Female","White",0,"White","Male","ddXc8zGlCs",TRUE,0.3124,14,FALSE,0.0604,30
"84",27,"bachelors","A few times a year","Historical",0,9,"Male","White",0,"White","Female","r3I6icZWNr",TRUE,0.042,38,FALSE,0.0732,21
"85",21,"less.than.bachelors","Once a month","Comedy",0,9,"Male","Hispanic",0,"Hispanic","Female","gkVGwGRavB",TRUE,0.0112,24,FALSE,0.0468,26
"86",21,"less.than.bachelors","Several times a week","Action and adventure",1,9,"Male","White",0,"White","Male","10ELmTCYUG",TRUE,0.02,16,FALSE,0.3796,2
"87",19,"less.than.bachelors","Once a month","Science Fiction",0,9,"Male","White",0,"Black","Female","hni9DEkUGb",FALSE,0.124,12,FALSE,0.052,11
"88",25,"bachelors","Several times a week","Horror",0,9,"Female","Hispanic",0,"White","Male","q8d6iUXUoN",FALSE,0.0728,17,FALSE,0.0816,18
"89",19,"less.than.bachelors","Every day","Horror",0,9,"Male","White",1,"Hispanic","Female","TZYgVnAiFa",FALSE,0.1176,15,FALSE,0.0544,36
"90",29,"bachelors","Several times a month","Comedy",0,9,"Male","White",0,"Hispanic","Female","r0N3HWgw1m",FALSE,0.1216,16,FALSE,0.056,24
"91",22,"bachelors","Several times a month","Drama",1,9,"Male","Black",0,"White","Female","RBhcyf0fDN",FALSE,0.0676,11,FALSE,0.0732,16
"92",19,"less.than.bachelors","Several times a month","Horror",0,9,"Female","White",0,"Hispanic","Female","vcNwY5aMp1",TRUE,0.0556,35,FALSE,0.036,21
"93",22,"bachelors","Several times a week","Horror",0,9,"Male","White",1,"White","Female","3k6xP1Vl19",TRUE,0.032,23,FALSE,0.4508,1
"94",41,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Male","White",1,"White","Male","FqzWDAyW3E",TRUE,0.692,1,TRUE,0.8156,2
"95",19,"less.than.bachelors","Every day","Action and adventure",1,9,"Male","White",0,"Black","Female","Me00lcumk0",FALSE,0.622,2,TRUE,0.3088,6
"96",29,"bachelors","Several times a month","Action and adventure",1,9,"Male","Hispanic",1,"White","Male","mtpuOO3klu",TRUE,0.3772,1,TRUE,0.4168,3
"97",29,"bachelors","Several times a month","Comedy",0,9,"Male","White",0,"Hispanic","Female","CdQGqBe3JV",FALSE,0.1216,11,FALSE,0.056,19
"98",23,"less.than.bachelors","Several times a week","Other",0,9,"Male","Black",1,"Hispanic","Male","dU3mraKUfC",TRUE,0.1836,20,FALSE,0.1256,17
"99",31,"bachelors","Several times a month","Action and adventure",1,9,"Male","White",1,"Black","Male","eGPuYQYQUk",TRUE,0.5292,2,TRUE,0.1892,5
"100",45,"more.than.bachelors","Every day","Historical",0,9,"Female","White",1,"White","Male","dytKNSishd",TRUE,0.2604,3,TRUE,0.592,1
"101",31,"more.than.bachelors","Several times a week","Science Fiction",0,9,"Female","Hispanic",0,"Black","Male","H6CnY8zRGd",FALSE,0.214,7,FALSE,0.2316,12
"102",19,"less.than.bachelors","Several times a week","Horror",0,9,"Male","White",0,"Hispanic","Female","9Gr73FrE0L",FALSE,0.1124,9,FALSE,0.0212,23
"103",20,"less.than.bachelors","Several times a month","Comedy",0,9,"Male","Black",0,"Hispanic","Female","T0vnVA49MR",FALSE,0.0652,22,FALSE,8e-04,29
"104",23,"bachelors","Several times a month","Drama",1,9,"Female","White",0,"White","Female","ZnxhKjD9HO",TRUE,0.0128,13,FALSE,0.2932,1
"105",37,"more.than.bachelors","Several times a week","Drama",1,9,"Female","White",1,"Black","Male","vCCucKLH0Q",FALSE,0.4984,6,TRUE,0.3232,7
"106",21,"less.than.bachelors","Once a month","Action and adventure",1,9,"Male","Black",0,"Hispanic","Female","Kj6SjScvuE",FALSE,0.2016,11,FALSE,0.1172,25
"107",33,"more.than.bachelors","Several times a month","Other",0,9,"Male","White",1,"Hispanic","Female","Uv8kE8o4sU",FALSE,0.1024,10,FALSE,0.2768,8
"108",19,"less.than.bachelors","Several times a week","Drama",1,9,"Female","Black",1,"White","Female","CMOuSSjydi",TRUE,0.078,8,FALSE,0.076,16
"109",43,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Female","White",0,"White","Male","ymNVkezCQA",TRUE,0.932,1,TRUE,0.3812,3
"110",20,"less.than.bachelors","Several times a week","Comedy",0,9,"Male","White",0,"Black","Female","RpYbvMfsq6",FALSE,0.0052,12,FALSE,0.008,11
"111",20,"less.than.bachelors","Several times a month","Action and adventure",1,9,"Male","Black",0,"White","Female","FvKToym9tL",FALSE,0.64,4,TRUE,0.1128,6
"112",44,"more.than.bachelors","Several times a week","Historical",0,9,"Female","White",1,"White","Male","hUsL08VZXx",TRUE,0.2772,3,TRUE,0.5732,1
"113",30,"more.than.bachelors","A few times a year","Comedy",0,9,"Male","White",0,"White","Female","89FnYEsDw7",TRUE,0.1176,10,FALSE,0.1144,7
"114",38,"bachelors","Once a month","Historical",0,9,"Male","White",0,"White","Female","ZCg5vGFvCB",TRUE,0.082,5,TRUE,0.0512,9
"115",50,"more.than.bachelors","Several times a month","Other",0,9,"Female","Black",1,"White","Female","CojjV9tz6U",TRUE,0.2576,29,FALSE,0.332,26
"116",27,"more.than.bachelors","Several times a month","Action and adventure",1,9,"Male","White",1,"White","Male","no9gRE9jjN",TRUE,0.4704,12,FALSE,0.2756,10
"117",50,"bachelors","Several times a week","Science Fiction",0,9,"Female","Hispanic",1,"Hispanic","Male","MslIgvUCSY",TRUE,0.2136,11,FALSE,0.27,5
"118",25,"more.than.bachelors","Several times a month","Drama",1,9,"Female","Black",0,"Hispanic","Female","3j6oTZyi92",TRUE,0.2884,9,FALSE,0.3632,1
"119",22,"bachelors","Several times a month","Other",0,9,"Male","White",0,"White","Female","6Juo3GZZ8b",TRUE,0.0176,42,FALSE,0.0108,26
"120",50,"more.than.bachelors","Several times a week","Animation",0,9,"Female","White",0,"White","Male","4intRZKbr4",TRUE,0.318,3,TRUE,0.8276,1
"121",24,"bachelors","Several times a month","Comedy",0,9,"Male","White",0,"White","Female","qyiNjBDsy3",TRUE,0.014,37,FALSE,8e-04,36
"122",30,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Female","White",1,"White","Male","ZYCAHDL9xy",TRUE,0.2556,4,TRUE,0.5316,3
"123",35,"less.than.bachelors","Several times a month","Horror",0,9,"Female","White",0,"White","Female","pl36R7gPcP",TRUE,0.1168,5,TRUE,0.1672,4
"124",23,"more.than.bachelors","Several times a week","Science Fiction",0,9,"Male","White",0,"Black","Male","pGSCirgyGW",TRUE,0.2956,5,TRUE,0.22,3
"125",63,"bachelors","Several times a month","Science Fiction",0,9,"Male","Hispanic",0,"White","Male","GGYJ7d0Iww",TRUE,0.2944,8,FALSE,0.1244,9
"126",19,"less.than.bachelors","A few times a year","Comedy",0,9,"Male","White",0,"Black","Female","C21jhnRvuz",FALSE,0.0752,18,FALSE,0.044,18
"127",40,"bachelors","Several times a month","Other",0,9,"Male","White",1,"White","Female","dJgzdXkY9S",TRUE,0.2776,20,FALSE,0.1268,17
"128",33,"less.than.bachelors","Several times a month","Horror",0,9,"Male","White",0,"White","Male","mHqCqThdDJ",TRUE,0.124,25,FALSE,0.216,17
"129",21,"less.than.bachelors","Several times a month","Comedy",0,9,"Female","Hispanic",0,"White","Female","uTnjwZvZpJ",TRUE,0.3872,1,TRUE,0.0116,14
"130",23,"bachelors","Several times a month","Drama",1,9,"Male","White",1,"Hispanic","Female","zob0HSXZl2",FALSE,0.0064,29,FALSE,0.016,30
"131",25,"more.than.bachelors","Every day","Horror",0,9,"Male","White",0,"White","Female","cseqUAoOIQ",TRUE,0.0556,32,FALSE,0.2712,5
"132",19,"less.than.bachelors","Several times a month","Science Fiction",0,9,"Female","White",0,"White","Male","SrqXIb7hBg",TRUE,0.2892,8,FALSE,0.136,15
"133",35,"more.than.bachelors","Several times a week","Drama",1,9,"Female","White",0,"White","Female","wQ20gKntYX",TRUE,0.2948,6,TRUE,0.4792,4
"134",48,"more.than.bachelors","Several times a week","Action and adventure",1,8,"Male","White",1,"White","Male","kYmeksS3Qu",TRUE,0.3236,6,TRUE,0.6848,2
"135",47,"more.than.bachelors","Several times a week","Action and adventure",1,8,"Female","White",1,"White","Male","KSuFElBEqY",TRUE,0.3228,5,TRUE,0.59,5
"136",20,"less.than.bachelors","Several times a month","Animation",0,8,"Male","White",0,"White","Male","fVLp9M3k3r",TRUE,0.164,5,TRUE,0.002,27
"137",45,"more.than.bachelors","Every day","Historical",0,8,"Male","Hispanic",0,"White","Male","dytKNSishd",TRUE,0.226,4,TRUE,0.308,4
"138",23,"less.than.bachelors","Once a year","Science Fiction",0,8,"Male","Hispanic",1,"Other","Male","PzY6wGOp4f",TRUE,0.3824,1,TRUE,0.0528,4
"139",30,"more.than.bachelors","Several times a week","Action and adventure",1,8,"Male","White",0,"Black","Male","zGt7yvD5Hq",TRUE,0.1644,6,TRUE,0.072,14
"140",21,"less.than.bachelors","Once a month","Action and adventure",1,8,"Male","White",0,"Hispanic","Female","Kj6SjScvuE",FALSE,0.3944,2,TRUE,0.1132,30
"141",19,"less.than.bachelors","Several times a month","Horror",0,8,"Male","White",0,"White","Female","BiKPsh1GbG",TRUE,0.0312,30,FALSE,0.006,32
"142",40,"bachelors","Several times a month","Other",0,8,"Male","Hispanic",0,"White","Female","dJgzdXkY9S",FALSE,0.3008,17,FALSE,0.1724,11
"143",22,"bachelors","Several times a month","Drama",0,8,"Male","White",0,"White","Female","RBhcyf0fDN",TRUE,0,35,FALSE,0.0292,28
"144",19,"less.than.bachelors","Several times a week","Horror",0,8,"Male","White",0,"Hispanic","Female","9Gr73FrE0L",FALSE,0,42,FALSE,0,39
"145",44,"more.than.bachelors","Several times a week","Comedy",1,8,"Female","White",1,"White","Male","CuDkB1lLwf",TRUE,0.274,8,FALSE,0.5468,9
"146",29,"bachelors","Several times a month","Comedy",1,8,"Male","White",0,"Hispanic","Female","r0N3HWgw1m",FALSE,0.16,11,FALSE,0.1032,16
"147",29,"bachelors","Several times a week","Action and adventure",1,8,"Male","Hispanic",1,"Black","Male","jUWwmxikb1",TRUE,0.232,3,TRUE,0.6928,1
"148",46,"more.than.bachelors","Several times a week","Action and adventure",1,8,"Female","White",1,"White","Male","hgmgFqpehk",TRUE,0.3932,4,TRUE,0.544,5
"149",26,"bachelors","Several times a week","Horror",0,8,"Female","Black",0,"White","Female","fzsv7M2MZE",TRUE,0.0836,12,FALSE,0.0704,19
"150",37,"bachelors","Several times a month","Comedy",1,8,"Male","White",0,"White","Female","oPqz3EUbPj",TRUE,0.1504,10,FALSE,0.3588,2
"151",23,"bachelors","Several times a month","Drama",0,8,"Female","White",0,"Hispanic","Female","zob0HSXZl2",TRUE,0.004,36,FALSE,0.0292,18
"152",44,"more.than.bachelors","Several times a week","Historical",0,8,"Female","Hispanic",1,"White","Male","hUsL08VZXx",FALSE,0.3696,2,TRUE,0.2808,3
"153",23,"less.than.bachelors","Several times a month","Horror",0,8,"Female","Black",0,"White","Female","ZBbtrfl1rj",TRUE,0.09,11,FALSE,0.1048,8
"154",35,"more.than.bachelors","Several times a week","Action and adventure",1,8,"Female","Hispanic",1,"White","Male","GDXJEfWNvM",FALSE,0.1444,9,FALSE,0.37,5
"155",41,"more.than.bachelors","Several times a week","Science Fiction",0,8,"Female","White",0,"Black","Male","NrMSYhEtof",FALSE,0.2668,8,FALSE,0.5212,4
"156",19,"less.than.bachelors","A few times a year","Comedy",1,8,"Female","White",0,"Black","Female","C21jhnRvuz",TRUE,0.4364,4,TRUE,0.068,12
"157",37,"less.than.bachelors","Several times a week","Science Fiction",0,8,"Female","Black",0,"White","Male","BcCAmKpGeN",FALSE,0.2592,15,FALSE,0.1928,5
"158",20,"less.than.bachelors","Several times a month","Comedy",1,8,"Male","Black",0,"Hispanic","Female","T0vnVA49MR",FALSE,0.178,7,FALSE,0.1172,8
"159",19,"less.than.bachelors","Several times a month","Horror",0,8,"Male","White",0,"Hispanic","Female","vcNwY5aMp1",FALSE,0.0716,26,FALSE,0.0164,40
"160",24,"bachelors","Several times a month","Comedy",1,8,"Female","White",0,"White","Female","qyiNjBDsy3",TRUE,0.16,19,FALSE,0.1924,12
"161",29,"more.than.bachelors","Several times a week","Horror",0,8,"Female","Hispanic",0,"White","Male","tjtngzGfZ5",FALSE,0.3524,1,TRUE,0.6124,2
"162",40,"more.than.bachelors","Several times a week","Action and adventure",1,8,"Female","White",1,"White","Female","7dCkVAAzhh",TRUE,0.3844,2,TRUE,0.4516,4
"163",27,"more.than.bachelors","Several times a month","Action and adventure",1,8,"Male","White",0,"White","Male","no9gRE9jjN",TRUE,0.3368,21,FALSE,0.2092,17
"164",21,"less.than.bachelors","Once a month","Comedy",1,8,"Male","Black",0,"Hispanic","Female","gkVGwGRavB",FALSE,0.7304,5,TRUE,0.1176,11
"165",50,"more.than.bachelors","Several times a week","Action and adventure",1,8,"Male","White",1,"White","Male","hKJgxWNTD7",TRUE,0.428,4,TRUE,0.6496,4
"166",31,"bachelors","Several times a week","Action and adventure",1,8,"Male","White",0,"Black","Male","Qivfv2KpmG",TRUE,0.2368,5,TRUE,0.3824,2
"167",36,"more.than.bachelors","Several times a week","Action and adventure",1,8,"Male","White",1,"Hispanic","Male","txvG4WC4e1",TRUE,0.1904,10,FALSE,0.158,16
"168",19,"less.than.bachelors","Every day","Horror",0,8,"Male","Black",0,"Hispanic","Female","TZYgVnAiFa",FALSE,0.0312,36,FALSE,0.266,3
"169",21,"less.than.bachelors","Several times a month","Comedy",1,8,"Female","White",0,"White","Female","uTnjwZvZpJ",TRUE,0.1884,7,FALSE,0.0588,7
"170",28,"bachelors","Several times a week","Horror",0,8,"Male","Black",0,"White","Female","J3HuVBjodD",FALSE,0.0048,15,FALSE,0.0648,11
"171",20,"less.than.bachelors","Several times a week","Science Fiction",0,8,"Male","Black",0,"White","Male","ddXc8zGlCs",TRUE,0.2572,28,FALSE,0.042,31
"172",50,"less.than.bachelors","Several times a month","Action and adventure",1,8,"Female","Hispanic",1,"White","Male","mLAjfVSpay",FALSE,0.1612,27,FALSE,0.2904,10
"173",23,"less.than.bachelors","Several times a week","Other",0,8,"Male","White",0,"Hispanic","Male","dU3mraKUfC",TRUE,0.1108,30,FALSE,0.0696,42
"174",31,"more.than.bachelors","Several times a month","Drama",0,8,"Male","White",0,"White","Female","chIWksfoJv",TRUE,0.104,34,FALSE,0.1232,35
