participant_id,order,preference (1-7),post_tenure,tenure_units,human (y/n),nf_group (y/n),unrest (y/n),event (y/n),race_RA_1,race_RA_2,gender,Notes,,,manual_diag
564999999,59,7,,,0,0,,0,,,,,,,1
564999999,60,1,,,1,1,,0,Asian,,Female,,,,1
8051,1,3,,,1,1,,0,Asian,,Female,,,,0
8051,2,5,,,1,1,,0,White,,Male,,,,0
8051,3,2,,,1,1,,0,White,,Male,,,,0
8051,4,5,,,1,1,,0,Black or African American,,Female,,,,0
8051,5,2,,,1,1,,0,,,,Unidentifiable,,,0
8051,6,2,,,1,1,,0,Asian,,Female,,,,0
8051,7,2,,,1,1,,0,Asian,,Female,,,,0
8051,8,7,,,1,0,,0,White,,Female,,,,0
8051,9,3,,,1,1,,0,Asian,,Female,,,,0
8051,10,6,,,0,0,,0,,,,Suggested Post,,,0
8051,11,7,,,1,1,,0,Asian,,Male,,,,0
8051,12,3,,,0,0,,0,,,,,,,0
8051,13,4,,,1,1,,0,White,Asian,Male,,,,0
8051,14,3,,,1,1,,0,Asian,,Male,,,,0
8051,15,5,,,1,1,,0,Asian,,Female,,,,0
8051,16,3,,,0,0,,0,,,,Suggested Post,,,0
8051,17,3,,,1,1,,0,Asian,White,Female,,,,0
8051,18,4,,,1,1,,0,White,,Female,Commented to tag a friend,,,0
8051,19,3,,,1,1,,0,Asian,,Male,,,,0
8051,20,6,,,1,1,,0,Asian,,Female,,,,0
8051,21,4,,,0,0,,0,,,,,,,0
8051,22,3,,,0,0,,0,,,,Suggested Post,,,0
8051,23,2,,,1,1,,0,Asian,,Male,,,,0
8051,24,2,,,1,1,,0,Asian,,Male,,,,0
8051,25,3,,,1,1,,0,Asian,,Male,,,,0
8051,26,2,,,1,1,,0,Asian,,Male,"""Liked it out of friendship""",,,0
8051,27,5,,,1,1,,0,Asian,,Male,,,,0
8051,28,5,,,1,1,,0,Asian,,Female,Tagged a friend,,,0
8051,29,1,,,0,0,,0,,,,Suggested Post - Dogs,,,0
8051,30,2,,,0,0,,0,,,,,,,0
8051,31,2,,,1,1,,0,White,,Female,,,,0
8051,32,4,,,1,1,,0,White,,Male,,,,0
8051,33,5,,,0,0,,0,,,,,,,0
8051,34,6,,,1,1,,0,White,,Female,,,,0
8051,35,5,,,1,1,,0,Asian,,Male,"Accidentally clikced on a link, and the newsfeed refreshed",,,0
8051,36,3,,,1,1,,0,White,,Male,,,,0
8051,37,3,,,1,1,,0,White,,Female,,,,0
8051,38,7,,,1,0,,0,Asian,,Female,,,,0
8051,39,6,,,1,1,,0,Asian,,Female,Liked the post,,,0
8051,40,2,,,1,1,,0,White,,Female,,,,0
8051,41,2,,,1,1,,0,White,Hispanic,Female,,,,0
8051,42,4,,,1,1,,0,Asian,,Female,,,,0
8051,43,2,,,1,1,,0,Asian,,Female,,,,0
8051,44,2,,,1,0,,0,Asian,,Female,,,,0
8051,45,6,,,1,1,,0,Asian,,Male,Liked and Tagged a friend,,,0
8051,46,7,,,1,0,,0,Asian,,Male,Wishing a mutual friend a happy bday,,,0
8051,47,2,,,1,0,,0,White,,Female,,,,0
8051,48,6,,,1,1,,0,Asian,,Female,,,,0
8051,49,2,,,0,0,,0,,,,,,,0
8051,50,7,,,1,0,,0,Asian,,Female,hearted - they shared a doc she also shared,,,0
8051,51,7,,,1,0,,0,White,,Male,hearted - they shared a doc she also shared,,,0
8051,52,3,,,1,1,,0,White,,Male,friend commented on post,,,0
8051,53,2,,,0,0,,0,,,,,,,0
8051,54,4,,,1,1,,0,Asian,,Male,,,,0
8051,55,3,,,1,1,,0,White,,Female,,,,0
8051,56,7,,,1,0,,0,Asian,,Female,hearted - they shared a doc she also shared,,,0
8051,57,4,,,1,1,,0,Asian,Hispanic,Male,shared,,,0
8051,58,3,,,1,1,,0,Asian,,Female,,,,0
8051,59,4,,,1,1,,0,White,,Male,,,,0
8051,60,5,,,1,0,,0,White,,Male,,,,0
5139,1,5,6,Hours,1,0,,0,Asian,,Male,"Particpant is an intenational chinese student, and all of the posts on his page were in East Asian languages. Since the numerical values stayed with Arabic numbers and the FB formatting is the same I was able to gather the informaiton about time and mutual friends without tiping the participant off about the data i was gathering.",,,0
5139,2,4,17,Hours,1,0,,0,Asian,,Female,,,,0
5139,3,2,17,Hours,1,0,,0,Asian,,Female,,,,0
5139,4,2,6,Hours,1,0,,0,Asian,,Female,,,,0
5139,5,1,21,Hours,1,0,,0,Asian,,Male,,,,0
5139,6,5,8,Hours,1,0,,0,Asian,,Male,,,,0
5139,7,1,14,Hours,1,0,,0,Asian,,Male,,,,0
5139,8,2,11,Hours,1,0,,0,Asian,,Female,,,,0
5139,9,6,22,Hours,0,0,,0,,,,Suggested Post,,,0
5139,10,2,17,Hours,1,0,,0,Asian,,Female,,,,0
5139,11,5,1,Days,1,0,,0,Asian,,Male,,,,0
5139,12,1,1,Days,1,0,,0,Asian,,Female,,,,0
5139,13,5,3,Days,1,0,,0,Asian,,Male,,,,0
5139,14,5,3,Days,1,0,,0,Asian,,Male,,,,0
5139,15,6,1,Days,1,0,,0,Asian,,Male,,,,0
5139,16,6,1,Days,1,0,,0,Asian,,Female,,,,0
5139,17,7,1,Days,1,0,,0,Asian,,Male,,,,0
5139,18,2,11,Hours,1,0,,0,Asian,,Female,,,,0
5139,19,3,5,Hours,1,0,,0,Asian,,Female,,,,0
5139,20,2,11,Hours,1,0,,0,Asian,,Female,,,,0
5139,21,7,9,Hours,1,0,,0,Asian,,Male,,,,0
5139,22,2,4,Hours,1,0,,0,Asian,,Female,,,,0
5139,23,5,5,Hours,1,0,,0,Asian,,Female,,,,0
5139,24,2,11,Hours,1,0,,0,Asian,,Female,,,,0
5139,25,3,14,Hours,1,0,,0,Asian,,Female,,,,0
5139,26,7,2,Days,1,0,,0,Asian,,Male,,,,0
5139,27,3,17,Hours,1,0,,0,Asian,,Female,,,,0
5139,28,4,1,Days,1,0,,0,Asian,,Female,,,,0
5139,29,3,2,Days,1,0,,0,Asian,,Female,,,,0
5139,30,2,11,Hours,1,0,,0,Asian,,Female,,,,0
5139,31,1,3,Days,1,0,,0,Asian,,Male,,,,0
5139,32,2,11,Hours,1,0,,0,Asian,,Female,,,,0
5139,33,2,11,Hours,1,0,,0,Asian,,Female,,,,0
5139,34,3,11,Hours,1,0,,0,Asian,,Female,,,,0
5139,35,5,21,Hours,1,0,,0,Asian,,Male,,,,0
5139,36,6,3,Hours,1,0,,0,Asian,,Female,,,,0
5139,37,1,2,Days,1,0,,0,Asian,,Male,,,,0
5139,38,,,,,,,,,,,"Facebook didnt load any new posts, so we refreshed the page, and there were no new posts after the refresh",,,0
5139,39,,,,,,,,,,,,,,0
5139,40,,,,,,,,,,,,,,0
5139,41,,,,,,,,,,,,,,0
5139,42,,,,,,,,,,,,,,0
5139,43,,,,,,,,,,,,,,0
5139,44,,,,,,,,,,,,,,0
5139,45,,,,,,,,,,,,,,0
5139,46,,,,,,,,,,,,,,0
5139,47,,,,,,,,,,,,,,0
5139,48,,,,,,,,,,,,,,0
5139,49,,,,,,,,,,,,,,0
5139,50,,,,,,,,,,,,,,0
5139,51,,,,,,,,,,,,,,0
5139,52,,,,,,,,,,,,,,0
5139,53,,,,,,,,,,,,,,0
5139,54,,,,,,,,,,,,,,0
5139,55,,,,,,,,,,,,,,0
5139,56,,,,,,,,,,,,,,0
5139,57,,,,,,,,,,,,,,0
5139,58,,,,,,,,,,,,,,0
5139,59,,,,,,,,,,,,,,0
5139,60,,,,,,,,,,,,,,0
5424,1,1,2,Days,1,0,,0,white,,male,,,,0
5424,2,3,10,Hours,1,0,,0,white,,female,,,,0
5424,3,2,2,Days,1,0,,0,white,,male,,,,0
5424,4,2,18,Hours,1,0,,0,white,,male,,,,0
5424,5,1,,,0,1,,0,white,,male,,,,0
5424,6,7,,,,,,,,,,,,,0
5424,7,5,3,Days,1,0,,0,white,,female,,,,0
5424,8,1,2,Hours,1,0,,0,white,,male,,,,0
5424,9,7,2,Hours,1,0,,0,white,,female,suggesteed,,,0
5424,10,4,41,Minutes,1,0,,0,white,,male,,,,0
5424,11,1,,,0,1,,0,,,,,,,0
5424,12,1,22,Hours,1,0,,0,white,,male,,,,0
5424,13,7,3,Days,1,0,,0,hispanic,,female,,,,0
5424,14,1,4,Days,1,0,,0,white,,male,,,,0
5424,15,6,3,Days,1,0,,0,white,,male,,,,0
5424,16,1,,,0,1,,0,,,,,,,0
5424,17,4,15,Hours,1,0,,0,white,,female,,,,0
5424,18,3,2,Hours,1,0,,1,white,,male,,,,0
5424,19,7,3,Days,1,0,,0,white,,male,,,,0
5424,20,7,1,Hours,1,1,,0,hispanic,,male,,,,0
5424,21,1,3,Days,1,0,,0,white,,male,,,,0
5424,22,3,3,Days,1,0,,0,white,,male,,,,0
5424,23,7,17,Hours,1,0,,0,white,,male,suggested,,,0
5424,24,1,3,Days,1,0,,0,white,,female,,,,0
5424,25,7,3,Days,1,0,,0,asian,,male,,,,0
5424,26,2,,,0,1,,0,,,,suggested,,,0
5424,27,1,,,1,0,,0,Black or African American,,male,,,,0
5424,28,7,4,Hours,1,0,,0,asian,,female,,,,0
5424,29,1,,,1,0,,0,white,,male,,,,0
5424,30,6,6,Minutes,1,0,,0,hispanic,,male,,,,0
5424,31,5,1,Days,1,0,,0,white,,female,,,,0
5424,32,1,7,Hours,1,0,,0,white,,male,,,,0
5424,33,7,,,1,0,,0,Black or African American,,male,suggested,,,0
5424,34,6,,,1,0,,0,white,,female,,,,0
5424,35,4,,,1,0,,0,hispanic,,female,,,,0
5424,36,1,10,Hours,1,0,,0,asian,,female,,,,0
5424,37,4,1,Hours,1,0,,0,white,,female,,,,0
5424,38,2,,,0,1,,0,,,,,,,0
5424,39,7,,,1,0,,0,white,,female,,,,0
5424,40,6,,,1,0,,0,white,,male,,,,0
5424,41,2,5,Hours,1,0,,0,white,,male,,,,0
5424,42,1,5,Hours,1,0,,0,white,,male,suggested,,,0
5424,43,2,,,0,1,,0,,,,,,,0
5424,44,3,,,1,0,,0,white,,female,,,,0
5424,45,1,4,Hours,1,0,,0,asian,,male,,,,0
5424,46,6,,,1,0,,0,white,,male,,,,0
5424,47,1,,,1,0,,0,white,,male,,,,0
5424,48,1,,,0,1,,0,,,,suggested,,,0
5424,49,3,,,1,0,,0,hispanic,,male,,,,0
5424,50,7,,,1,0,,0,white,,male,,,,0
5424,51,4,,,1,0,,0,hispanic,,female,,,,0
5424,52,3,20,Minutes,1,0,,0,white,,male,,,,0
5424,53,1,,,0,1,,0,,,,,,,0
5424,54,3,,,0,1,,0,,,,,,,0
5424,55,5,11,Hours,1,0,,0,white,,male,,,,0
5424,56,7,,,1,0,,0,white,,male,,,,0
5424,57,4,,,1,0,,0,hispanic,,female,,,,0
5424,58,1,22,Hours,1,0,,0,white,,male,,,,0
5424,59,2,4,Hours,1,0,,0,white,,male,,,,0
5424,60,7,,,1,0,,0,white,,male,,,,0
2762,1,2,29,Minutes,1,0,,0,white,,male,,,,0
2762,2,2,1,Hours,1,1,,0,white,,male,,,,0
2762,3,1,35,Minutes,1,0,,0,white,,male,,,,0
2762,4,3,,,1,0,,0,white,,female,,,,0
2762,5,1,,,0,1,,0,,,,,,,0
2762,6,4,58,Minutes,0,1,,0,,,,,,,0
2762,7,4,51,Minutes,1,0,,0,white,,male,,,,0
2762,8,2,1,Hours,1,0,,0,white,,female,,,,0
2762,9,2,47,Minutes,1,0,,0,white,,female,,,,0
2762,10,1,,,0,1,,0,,,,,,,0
2762,11,2,23,Minutes,1,0,,0,white,,male,,,,0
2762,12,3,3,Hours,0,1,,0,,,,suggested,,,0
2762,13,4,1,Hours,1,0,,0,white,,female,,,,0
2762,14,5,1,Hours,1,0,,0,,,,,,,0
2762,15,1,,,1,0,,0,,,,suggested,,,0
2762,16,3,1,Hours,1,0,,0,white,,female,,,,0
2762,17,4,4,Hours,1,0,,0,,,,unidentifiable,,,0
2762,18,4,3,Minutes,1,0,,0,white,,female,,,,0
2762,19,3,1,Hours,1,0,,0,white,,female,,,,0
2762,20,1,22,Hours,,,,,,,,suggested,,,0
2762,21,1,2,Hours,1,0,,0,white,,female,,,,0
2762,22,1,,,0,1,,0,,,,,,,0
2762,23,3,43,Minutes,1,0,,0,white,,male,,,,0
2762,24,1,,,0,1,,0,,,,,,,0
2762,25,5,1,Hours,0,1,,0,,,,,,,0
2762,26,3,2,Hours,0,1,,0,,,,,,,0
2762,27,4,1,Hours,0,1,,1,,,,suggested,,,0
2762,28,1,38,Minutes,1,1,,0,white,,male,,,,0
2762,29,1,,,0,1,,0,,,,,,,0
2762,30,1,,,0,1,,0,,,,suggested,,,0
2762,31,3,12,Minutes,0,1,,0,,,,,,,0
2762,32,3,1,Hours,1,1,,0,white,,male,,,,0
2762,33,1,,,0,1,,0,,,,,,,0
2762,34,4,1,Hours,0,1,,0,,,,,,,0
2762,35,2,,,0,1,,0,,,,,,,0
2762,36,2,1,Hours,1,1,,0,Black or African American,,male,,,,0
2762,37,3,3,Hours,0,1,,0,,,,,,,0
2762,38,2,1,Hours,1,1,,0,white,,male,,,,0
2762,39,2,,,0,1,,0,,,,,,,0
2762,40,1,2,Hours,1,1,,0,,,,unidentifiable gender or race,,,0
2762,41,1,,,0,1,,0,,,,,,,0
2762,42,5,23,Hours,1,0,,0,white,,female,,,,0
2762,43,1,,,0,1,,0,,,,,,,0
2762,44,6,18,Hours,1,0,,0,hispanic,,male,,,,0
2762,45,5,4,Hours,1,0,,0,white,,female,,,,0
2762,46,3,,,1,0,,0,white,,female,,,,0
2762,47,4,,,1,0,,0,white,,female,,,,0
2762,48,2,,,0,1,,0,,,,,,,0
2762,49,4,12,Hours,1,0,,0,white,,female,,,,0
2762,50,3,7,Hours,1,1,,0,,,,unidentifiable gender or race,,,0
2762,51,4,3,Hours,0,1,,0,,,,,,,0
2762,52,2,,,0,1,,0,,,,all caught up at this point,,,0
2762,53,4,4,Hours,0,1,,0,,,,,,,0
2762,54,1,,,0,1,,0,,,,,,,0
2762,55,4,2,Hours,1,0,,0,white,,female,,,,0
2762,56,6,2,Hours,0,1,,0,,,,,,,0
2762,57,2,,,0,1,,0,,,,,,,0
2762,58,4,2,Hours,0,1,,0,,,,,,,0
2762,59,1,2,Hours,1,0,,0,white,,female,,,,0
2762,60,1,,,0,1,,0,,,,,,,0
2393,1,4,1,Hours,1,0,,0,white,,male,,,,0
2393,2,5,,,0,1,,0,,,,,,,0
2393,3,6,6,Hours,1,0,,0,Black or African American,,male,,,,0
2393,4,2,8,Hours,1,0,,0,white,,female,,,,0
2393,5,1,57,Minutes,1,0,,0,white,,male,,,,0
2393,6,2,12,Hours,1,0,,0,white,,male,,,,0
2393,7,2,20,Hours,1,0,,0,white,,male,,,,0
2393,8,6,22,Hours,1,0,,0,white,,male,,,,0
2393,9,2,,,0,1,,0,,,,,,,0
2393,10,4,18,Hours,1,0,,0,white,,male,,,,0
2393,11,4,,,1,0,,0,hispanic,,male,,,,0
2393,12,7,1,Hours,0,1,,0,,,,,,,0
2393,13,6,20,Hours,1,0,,0,hispanic,,male,,,,0
2393,14,3,,,0,1,,0,,,,,,,0
2393,15,2,4,Hours,1,0,,0,white,,female,,,,0
2393,16,6,1,Hours,0,1,,0,,,,suggested,,,0
2393,17,1,22,Hours,1,0,,0,white,,male,,,,0
2393,18,7,17,Hours,1,0,,0,white,,male,,,,0
2393,19,1,,,0,1,,0,,,,,,,0
2393,20,1,34,Minutes,1,1,,0,white,,male,,,,0
2393,21,4,,,1,0,,0,white,,female,,,,0
2393,22,2,,,1,0,,0,Black or African American,,male,,,,0
2393,23,1,,,1,0,,0,Black or African American,,male,,,,0
2393,24,5,,,0,1,,0,,,,suggested,,,0
2393,25,1,4,Hours,1,0,,0,hispanic,,male,,,,0
2393,26,1,,,1,0,,0,hispanic,,male,,,,0
2393,27,4,,,1,0,,0,white,,male,,,,0
2393,28,4,17,Hours,1,0,,0,white,,female,,,,0
2393,29,2,,,1,0,,0,white,,male,,,,0
2393,30,3,,,1,0,,0,white,,male,,,,0
2393,31,6,,,0,1,,0,,,,,,,0
2393,32,1,,,1,0,,0,Black or African American,,male,,,,0
2393,33,7,,,0,1,,0,,,,,,,0
2393,34,4,,,1,0,,0,white,,male,,,,0
2393,35,1,,,1,0,,0,white,,male,suggested,,,0
2393,36,4,,,0,1,,0,,,,,,,0
2393,37,2,4,Hours,1,0,,0,white,,male,,,,0
2393,38,4,7,Hours,1,0,,0,white,,male,,,,0
2393,39,1,46,Minutes,1,0,,0,Black or African American,,female,,,,0
2393,40,2,,,1,0,,0,white,,male,suggested,,,0
2393,41,2,5,Hours,0,1,,0,,,,,,,0
2393,42,1,8,Hours,1,0,,0,white,,male,,,,0
2393,43,3,18,Minutes,0,1,,0,,,,,,,0
2393,44,6,9,Minutes,0,1,,0,,,,suggested,,,0
2393,45,3,,,0,1,,0,,,,,,,0
2393,46,4,2,Hours,1,0,,0,Black or African American,,male,,,,0
2393,47,2,,,1,0,,0,white,,female,,,,0
2393,48,6,2,Hours,1,1,,0,white,,male,suggested,,,0
2393,49,4,11,Hours,1,0,,0,hispanic,,male,,,,0
2393,50,5,,,0,1,,0,,,,,,,0
2393,51,3,,,1,0,,0,white,,female,,,,0
2393,52,4,4,Minutes,1,0,,0,white,,male,,,,0
2393,53,4,20,Hours,1,0,,0,white,,female,,,,0
2393,54,4,,,0,1,,0,,,,,,,0
2393,55,6,,,0,1,,0,,,,,,,0
2393,56,3,,,1,0,,0,white,,male,,,,0
2393,57,2,6,Hours,1,0,,0,white,,male,,,,0
2393,58,5,,,1,0,,0,hispanic,,female,suggested,,,0
2393,59,5,,,1,0,,0,white,,male,,,,0
2393,60,3,,,0,1,,0,,,,,,,0
4732,1,7,,,1,0,,0,white,,female,,,,0
4732,2,7,,,1,0,,0,white,,male,,,,0
4732,3,7,,,1,0,,0,white,,female,,,,0
4732,4,7,,,1,0,,0,white,,female,,,,0
4732,5,6,,,1,1,,0,white,,female,,,,0
4732,6,6,,,1,0,,0,white,,female,,,,0
4732,7,7,,,1,0,,0,white,,female,,,,0
4732,8,4,,,1,0,,0,white,,female,,,,0
4732,9,7,,,1,0,,0,white,,female,,,,0
4732,10,6,,,1,0,,0,white,,female,,,,0
4732,11,7,,,1,0,,0,Asian,,male,,,,0
4732,12,4,,,1,0,,0,white,,female,,,,0
4732,13,4,,,1,0,,0,white,,female,,,,0
4732,14,1,,,0,0,,0,,,,the new yorker,,,0
4732,15,6,,,1,0,,0,white,,female,,,,0
4732,16,6,,,1,1,,0,white,,female,,,,0
4732,17,5,,,1,0,,0,white,,male,,,,0
4732,18,7,,,1,0,,0,white,,female,,,,0
4732,19,7,,,1,0,,0,white,,male,,,,0
4732,20,6,,,1,0,,0,white,,female,,,,0
4732,21,6,,,1,0,,0,white,,female,,,,0
4732,22,4,,,1,0,,0,white,,female,,,,0
4732,23,3,,,1,0,,0,Asian,,female,,,,0
4732,24,5,,,1,0,,0,white,,male,,,,0
4732,25,3,,,1,1,,0,Black or African American,,female,,,,0
4732,26,5,,,1,0,,0,white,,female,,,,0
4732,27,5,,,1,0,,0,white,,female,,,,0
4732,28,6,,,1,0,,0,white,,female,,,,0
4732,29,6,,,1,0,,0,white,,female,,,,0
4732,30,5,,,1,0,,0,white,,female,,,,0
4732,31,7,,,1,0,,0,white,,male,,,,0
4732,32,5,,,1,0,,0,white,,female,,,,0
4732,33,7,,,1,0,,0,white,,female,,,,0
4732,34,7,,,1,0,,0,white,,female,,,,0
4732,35,7,,,1,0,,0,white,,female,,,,0
4732,36,6,,,1,0,,0,white,,female,,,,0
4732,37,2,,,1,0,,0,white,,male,,,,0
4732,38,3,,,1,1,,0,white,,female,,,,0
4732,39,6,,,1,0,,0,white,,male,,,,0
4732,40,5,,,1,0,,0,white,,male,,,,0
4732,41,7,,,1,0,,0,Black or African American,,female,,,,0
4732,42,4,,,1,0,,0,white,,female,,,,0
4732,43,2,,,1,1,,0,white,,female,,,,0
4732,44,7,,,1,0,,0,Asian,,female,,,,0
4732,45,6,,,1,0,,0,Asian,,female,,,,0
4732,46,6,,,1,0,,0,white,,female,,,,0
4732,47,4,,,1,0,,0,white,,female,,,,0
4732,48,6,,,1,0,,0,white,,female,,,,0
4732,49,6,,,0,0,,0,,,,milwalkee irish dnace company,,,0
4732,50,2,,,1,0,,0,hispanic,,female,,,,0
4732,51,3,,,1,0,,0,white,,female,,,,0
4732,52,6,,,1,0,,0,hispanic,,female,,,,0
4732,53,3,,,1,0,,0,white,,female,,,,0
4732,54,7,,,1,0,,0,white,,female,,,,0
4732,55,5,,,1,0,,0,white,,female,,,,0
4732,56,5,,,0,0,,0,,,,hofmann sausage,,,0
4732,57,4,,,1,0,,0,white,,female,,,,0
4732,58,7,,,0,0,,0,,,,aarp,,,0
4732,59,5,,,1,0,,0,white,,female,,,,0
4732,60,5,,,1,0,,0,white,,female,,,,0
4368,1,2,44,Minutes,1,1,,0,White,,Female,,,,0
4368,2,1,1,Minutes,1,1,,0,White,,Female,,,,0
4368,3,4,12,Minutes,1,0,,0,White,,Female,,,,0
4368,4,6,1,Hours,1,0,,0,White,,Female,,,,0
4368,5,1,20,Minutes,1,1,,0,Asian,,Female,,,,0
4368,6,5,42,Minutes,1,1,,0,White,,Female,,,,0
4368,7,7,1,Hours,1,0,,0,White,,Female,,,,0
4368,8,4,9,Hours,1,1,,0,White,,Female,,,,0
4368,9,1,2,Hours,1,0,,0,White,,Female,,,,0
4368,10,1,29,Minutes,1,1,,0,White,,Female,,,,0
4368,11,2,4,Hours,1,1,,0,White,,Female,,,,0
4368,12,1,4,Hours,1,1,,0,White,,Female,,,,0
4368,13,4,1,Minutes,1,0,,0,White,,Female,,,,0
4368,14,2,9,Minutes,1,1,,0,White,,Female,,,,0
4368,15,2,5,Minutes,1,1,,0,Asian,,Female,,,,0
4368,16,3,,,1,0,,0,White,,Female,,,,0
4368,17,3,20,Hours,1,1,,0,Hispanic,,Female,,,,0
4368,18,5,2,Hours,1,1,,0,Asian,,Male,,,,0
4368,19,4,33,Minutes,1,1,,0,White,,Female,,,,0
4368-2,20,6,1,Minutes,1,1,,0,White,,Female,,,,0
4368-2,21,1,,,1,0,,0,White,,Female,"1 because already seen that yesterday, 5 would be the score for first time seeing it",,,0
4368-2,22,4,4,Hours,1,1,,0,White,,Male,,,,0
4368-2,23,3,2,Hours,1,1,,0,White,,Female,,,,0
4368-2,24,5,,,1,1,,0,White,,Female,,,,0
4368-2,25,3,22,Hours,1,1,,0,Hispanic,,Female,,,,0
4368-2,26,5,12,Hours,1,1,,0,Hispanic,Black or African American,Female,,,,0
4368-2,27,5,19,Minutes,1,1,,0,White,,Female,,,,0
4368-2,28,6,11,Hours,1,1,,0,Asian,,Male,,,,0
4368-2,29,6,2,Hours,1,0,,0,White,,Female,,,,0
4368-2,30,1,3,Hours,1,0,,0,White,,Female,,,,0
4368-2,31,3,,,1,0,,0,White,,Female,,,,0
4368-2,32,3,,,1,0,,0,White,,Female,,,,0
4368-2,33,6,,,1,0,,0,White,,Female,,,,0
4368-2,34,4,15,Hours,1,1,,0,White,,Female,,,,0
4368-2,35,5,32,Minutes,0,0,,0,,,,New York TImes,,,0
4368-2,36,4,23,Hours,1,1,,0,White,,Female,,,,0
4368-2,37,1,,,1,1,,0,White,,Male,,,,0
4368-2,38,6,11,Minutes,1,1,,0,White,,Male,,,,0
4368-2,39,1,36,Minutes,1,1,,0,White,,Male,,,,0
4368-2,40,3,5,Hours,1,1,,0,White,Hispanic,Male,,,,0
4368-2,41,3,46,Minutes,1,1,,0,White,,Male,,,,0
4368-2,42,4,13,Minutes,1,1,,0,White,,Male,,,,0
4368-2,43,6,11,Hours,1,1,,0,White,,Female,,,,0
4368-2,44,7,,,1,1,,0,White,,Female,,,,0
4368-2,45,7,15,Minutes,1,1,,0,White,,Female,,,,0
4368-2,46,2,50,Minutes,1,1,,0,White,,Female,,,,0
4368-2,47,4,5,Hours,1,0,,0,White,,Male,,,,0
4368-2,48,2,5,Hours,1,1,,0,White,,Female,,,,0
4368-2,49,5,40,Minutes,1,0,,0,Asian,,Female,Asked me if she can watch the video first,,,0
4368-2,50,5,,,1,1,,0,Asian,,Male,,,,0
