RA_id,participant_id,date,study_start,study_end,subject_race_RA,subject_gender_RA,total_friends,Notes
CF,6873,10/6,12:17,12:50,Black or African American,Male,516,"Had internet issues, couldn't hear or communicate with them so ended the study early"
CF,8181,10/6,1:07,1:47,Asian,Female,592,
JM,5565,10/6,11:20,11:45,Asian,Female,152,
JM,6894,10/6,1:16,1:43,White,Female,424,
JM,3787,10/7,11:17,11:42,White,Male,"1,012",
JM,1704,10/7,12:18,12:44,Hispanic,Male,409,
JM,6986,10/7,3:18,3:52,White,Female,"2,112",
CF,5236,10/8,11:17,11:51,Other,Female,440,I think she's biracial? Wasn't sure what race to put down
CF,5512,10/8,12:16,12:52,White,Female,846,
TM,6198,10/8,1:34,11:56,White,Female,"1,123",
TM,9969,10/8,2:18,2:44,Hispanic,Male,"1,187",
TM,8382,10/9,11:00,11:32,White,Female,"1,795",
CF,9517,10/9,10:57,11:40,Asian,Female,275,
TM,7161,10/9,12:06,12:31,White,Male,"1,002",
CF,9545,10/9,12:56,1:22,Asian,Male,"1,145",
CF,3034,10/10,11:01,11:38,Asian,Female,625,
TM,5496,10/10,2:02,2:34,Asian,Female,269,
TM,8612,10/10,3:02,3:31,White,Male,497,
JM,5538,10/13,11:10,11:33,Asian,Female,427,
CF,6282,10/13,11:27,12:10,Asian,Female,411,
TM,8879,10/13,3:23,3:48,Asian,Female,"1,287",
CF,3921,10/14,12:14,12:51,White,Female,364,
JM,6328,10/14,12:15,12:54,Black or African American,Male,494,
JM,7313,10/14,3:17,3:45,White,Female,239,
CF,1876,10/15,11:01,11:47,Asian,Male,858,
CF,5056,10/15,1:00,1:33,White,Female,826,
CF,4147,10/16,11:00,11:26,Black or African American,Female,380,
CF,4625,10/16,11:59,12:33,Hispanic,Female,135,
CF,7658,10/16,12:57,1:50,White,Female,637,
TM,9991,10/17,12:05,12:55,White,Female,527,"Really horrible internet, the delay and confusion only allowed us to get to 45 posts."
TM,1886,10/17,1:03,1:38,White,Female,"1,544",
TM,4807,10/17,2:04,2:22,White,Female,124,"Rarely uses facebook, after multiple refreshes ended up only getting through 24 posts"
